,TA125_Rolling Yearly Return,USDILS_Rolling Yearly Return,MSCI_Rolling Yearly Return,FNCOTR_Rolling Yearly Return,GDDUWI_Rolling Yearly Return,H0A0_Rolling Yearly Return,ISBRATE_Rolling Yearly Return,LGDRTRUH_Rolling Yearly Return,LUACOAS_Rolling Yearly Return,MIMUAWON_Rolling Yearly Return,RMSN_Rolling Yearly Return,NDDUWI_Rolling Yearly Return,RMZN_Rolling Yearly Return,TB60_Rolling Yearly Return,EURILS_Rolling Yearly Return
TA125_Rolling Yearly Return,1.0,-0.12861426317687358,0.5160639293163618,0.11743124378909597,0.5458152300807997,0.2570703869559496,0.18955850224762055,0.1924540306156989,-0.2616651958643421,0.4972098470109765,0.04680383664571104,0.5465686359239297,0.04250503613862092,0.7502832404543938,-0.0875644215796238
USDILS_Rolling Yearly Return,-0.12861426317687358,1.0,-0.5571548074983751,-0.1731597415845973,-0.5388451031676673,-0.5175971678799637,0.27187156699525994,-0.44636292567054897,0.6579721018537549,-0.552697170218689,-0.061237178593767566,-0.5380710425511334,-0.06686582936327345,-0.4763612383578886,0.3406212720598737
MSCI_Rolling Yearly Return,0.5160639293163618,-0.5571548074983751,1.0,0.06389709377325614,0.997221101324024,0.6645055086615667,-0.38838595482448435,0.16823554748248654,-0.8507934884553823,0.999075358864266,-0.08305688568760698,0.9971844003016123,-0.0809649452980555,0.7375442841642326,0.13293155825449582
FNCOTR_Rolling Yearly Return,0.11743124378909597,-0.1731597415845973,0.06389709377325614,1.0,0.08288392102558687,0.408689992414772,0.34020282776030936,0.799094177095553,-0.28649042028510463,0.05272328633704944,0.9853803729703047,0.08167757131873801,0.9857048553960202,0.4084897722094697,-0.5864657159524542
GDDUWI_Rolling Yearly Return,0.5458152300807997,-0.5388451031676673,0.997221101324024,0.08288392102558687,1.0,0.6528011270425158,-0.378581990814438,0.16954354393942023,-0.8390167758119497,0.9955377566037051,-0.06121998962121688,0.9999980360589752,-0.05941240144167964,0.7490498219002051,0.11637939739244282
H0A0_Rolling Yearly Return,0.2570703869559496,-0.5175971678799637,0.6645055086615667,0.408689992414772,0.6528011270425158,1.0,-0.118516263558925,0.4650828000386477,-0.8508434543626476,0.6665819998128569,0.2999452463843929,0.6516398715737542,0.3030868449146748,0.5674304547049199,-0.3993298801732954
ISBRATE_Rolling Yearly Return,0.18955850224762055,0.27187156699525994,-0.38838595482448435,0.34020282776030936,-0.378581990814438,-0.118516263558925,1.0,0.3331925028402392,0.4068982489047971,-0.41764754630597617,0.3658375131240518,-0.378381775526441,0.35980446300276453,0.12977687930757725,-0.3109988941607375
LGDRTRUH_Rolling Yearly Return,0.1924540306156989,-0.44636292567054897,0.16823554748248654,0.799094177095553,0.16954354393942023,0.4650828000386477,0.3331925028402392,1.0,-0.42566718958882593,0.14760174931529918,0.7370184717618753,0.16834073569044308,0.7394438887506481,0.5998979604563975,-0.5975331608087764
LUACOAS_Rolling Yearly Return,-0.2616651958643421,0.6579721018537549,-0.8507934884553823,-0.28649042028510463,-0.8390167758119497,-0.8508434543626476,0.4068982489047971,-0.42566718958882593,1.0,-0.8534336712421906,-0.15338200094856763,-0.8381188051923225,-0.15813003350726237,-0.6630997335235346,0.12583113963126433
MIMUAWON_Rolling Yearly Return,0.4972098470109765,-0.552697170218689,0.999075358864266,0.05272328633704944,0.9955377566037051,0.6665819998128569,-0.41764754630597617,0.14760174931529918,-0.8534336712421906,1.0,-0.09200138460225878,0.9954820559122514,-0.08974425433079998,0.7147887224778731,0.14229434574190164
RMSN_Rolling Yearly Return,0.04680383664571104,-0.061237178593767566,-0.08305688568760698,0.9853803729703047,-0.06121998962121688,0.2999452463843929,0.3658375131240518,0.7370184717618753,-0.15338200094856763,-0.09200138460225878,1.0,-0.0624058693115884,0.9999502339372978,0.2768264668562608,-0.5922830105486888
NDDUWI_Rolling Yearly Return,0.5465686359239297,-0.5380710425511334,0.9971844003016123,0.08167757131873801,0.9999980360589752,0.6516398715737542,-0.378381775526441,0.16834073569044308,-0.8381188051923225,0.9954820559122514,-0.0624058693115884,1.0,-0.06061016868089669,0.7490154062364309,0.11753243352768132
RMZN_Rolling Yearly Return,0.04250503613862092,-0.06686582936327345,-0.0809649452980555,0.9857048553960202,-0.05941240144167964,0.3030868449146748,0.35980446300276453,0.7394438887506481,-0.15813003350726237,-0.08974425433079998,0.9999502339372978,-0.06061016868089669,1.0,0.27636241405024414,-0.5935981111158346
TB60_Rolling Yearly Return,0.7502832404543938,-0.4763612383578886,0.7375442841642326,0.4084897722094697,0.7490498219002051,0.5674304547049199,0.12977687930757725,0.5998979604563975,-0.6630997335235346,0.7147887224778731,0.2768264668562608,0.7490154062364309,0.27636241405024414,1.0,-0.1903788334243634
EURILS_Rolling Yearly Return,-0.0875644215796238,0.3406212720598737,0.13293155825449582,-0.5864657159524542,0.11637939739244282,-0.3993298801732954,-0.3109988941607375,-0.5975331608087764,0.12583113963126433,0.14229434574190164,-0.5922830105486888,0.11753243352768132,-0.5935981111158346,-0.1903788334243634,1.0
