Date,Price
03/01/00,124.62
04/01/00,124.46
05/01/00,124.08
06/01/00,124.28
09/01/00,124.23
10/01/00,124.21
11/01/00,124.19
12/01/00,124.29
13/01/00,124.2
16/01/00,124.14
17/01/00,124.1
18/01/00,124.1
19/01/00,124.06
20/01/00,124.09
23/01/00,124.07
24/01/00,124.16
25/01/00,124.11
26/01/00,124.14
27/01/00,124.14
30/01/00,124.17
31/01/00,124.23
01/02/00,124.26
02/02/00,124.39
03/02/00,124.39
06/02/00,124.42
07/02/00,124.43
08/02/00,124.45
09/02/00,124.43
10/02/00,124.31
13/02/00,124.34
14/02/00,124.4
15/02/00,124.24
16/02/00,124.23
17/02/00,124.23
20/02/00,124.11
21/02/00,124.12
22/02/00,124.06
23/02/00,124.07
24/02/00,124.05
27/02/00,124.07
28/02/00,123.97
29/02/00,123.99
01/03/00,124.04
02/03/00,124
05/03/00,123.93
06/03/00,123.78
07/03/00,123.73
08/03/00,123.75
09/03/00,123.74
12/03/00,124.03
13/03/00,124.04
14/03/00,124.06
15/03/00,124.18
16/03/00,124.3
19/03/00,124.38
20/03/00,124.32
22/03/00,124.44
23/03/00,124.4
26/03/00,124.4
27/03/00,124.7
28/03/00,125.02
29/03/00,125.33
30/03/00,125.35
02/04/00,125.44
03/04/00,125.37
04/04/00,125.39
05/04/00,125.37
06/04/00,125.55
09/04/00,125.55
10/04/00,125.56
11/04/00,125.55
12/04/00,125.5
13/04/00,125.43
16/04/00,125.4
17/04/00,125.35
18/04/00,125.33
23/04/00,125.31
24/04/00,125.26
27/04/00,125.33
30/04/00,125.49
01/05/00,125.66
02/05/00,125.59
03/05/00,125.63
04/05/00,125.75
07/05/00,126
08/05/00,126.16
11/05/00,126.24
14/05/00,126.27
15/05/00,126.46
16/05/00,126.37
17/05/00,126.29
18/05/00,126.61
21/05/00,126.8
22/05/00,127.07
23/05/00,127.38
24/05/00,127.6
25/05/00,127.6
28/05/00,127.91
29/05/00,127.95
30/05/00,128.06
31/05/00,128.39
01/06/00,128.43
04/06/00,128.33
05/06/00,128.19
06/06/00,128.28
07/06/00,128.08
11/06/00,128.05
12/06/00,128.04
13/06/00,127.94
14/06/00,127.9
15/06/00,127.84
18/06/00,127.79
19/06/00,127.87
20/06/00,127.87
21/06/00,127.81
22/06/00,127.8
25/06/00,127.81
26/06/00,127.81
27/06/00,127.84
28/06/00,127.73
29/06/00,128.18
02/07/00,128.1
03/07/00,128.09
04/07/00,128.11
05/07/00,128.16
06/07/00,128.11
09/07/00,128.09
10/07/00,128.09
11/07/00,127.84
12/07/00,127.79
13/07/00,128
16/07/00,127.96
17/07/00,127.98
18/07/00,127.93
19/07/00,127.88
20/07/00,127.8
23/07/00,127.76
24/07/00,127.74
25/07/00,127.71
26/07/00,127.56
27/07/00,127.65
30/07/00,127.82
31/07/00,128.02
01/08/00,127.98
02/08/00,128.01
03/08/00,128.01
06/08/00,128.03
07/08/00,127.57
08/08/00,127.46
09/08/00,127.46
13/08/00,127.43
14/08/00,127.42
15/08/00,127.42
16/08/00,127.37
17/08/00,127.25
20/08/00,127.15
21/08/00,127.1
22/08/00,127.07
23/08/00,126.84
24/08/00,126.82
27/08/00,126.82
28/08/00,126.78
29/08/00,126.65
30/08/00,126.88
31/08/00,127.19
03/09/00,127.15
04/09/00,127.13
05/09/00,127.12
06/09/00,127.09
07/09/00,127.06
10/09/00,127.04
11/09/00,127.07
12/09/00,126.92
13/09/00,126.92
14/09/00,126.92
17/09/00,127
18/09/00,126.84
19/09/00,127.11
20/09/00,127.2
21/09/00,127.18
24/09/00,127.11
25/09/00,127.12
26/09/00,127.25
27/09/00,127.46
28/09/00,127.81
02/10/00,127.75
03/10/00,127.86
04/10/00,127.81
05/10/00,127.79
10/10/00,127.79
11/10/00,127.79
