Date,Price
31/01/1972,101.2204
29/02/1972,102.1816
31/03/1972,102.4396
28/04/1972,102.7006
31/05/1972,101.153
30/06/1972,101.16
31/07/1972,104.0177
31/08/1972,102.8384
29/09/1972,105.8875
31/10/1972,108.9015
30/11/1972,111.2127
29/12/1972,111.1925
31/01/1973,111.5731
28/02/1973,104.3915
30/03/1973,106.0512
30/04/1973,101.937
31/05/1973,97.8248
29/06/1973,98.7217
31/07/1973,100.8666
31/08/1973,94.2776
28/09/1973,101.6748
31/10/1973,102.9218
30/11/1973,88.4833
31/12/1973,80.9296
31/01/1974,83.4418
28/02/1974,87.2566
29/03/1974,84.0502
30/04/1974,73.7677
31/05/1974,69.5952
28/06/1974,63.1992
31/07/1974,62.1874
30/08/1974,51.0338
30/09/1974,52.7555
31/10/1974,57.4484
29/11/1974,51.4296
31/12/1974,46.7517
31/01/1975,61.1572
28/02/1975,58.3383
31/03/1975,63.5579
30/04/1975,60.1148
30/05/1975,62.1589
30/06/1975,66.1275
31/07/1975,66.2798
29/08/1975,65.3221
30/09/1975,60.3252
31/10/1975,59.4963
28/11/1975,60.3347
31/12/1975,63.7397
30/01/1976,73.0285
27/02/1976,75.8838
31/03/1976,75.209
30/04/1976,75.7567
31/05/1976,74.2492
30/06/1976,75.275
30/07/1976,77.6142
31/08/1976,79.9105
30/09/1976,82.5808
29/10/1976,83.6161
30/11/1976,87.2392
31/12/1976,94.9554
31/01/1977,96.6758
28/02/1977,96.2348
31/03/1977,96.58
29/04/1977,100.1092
31/05/1977,98.9791
30/06/1977,104.0307
29/07/1977,107.4802
31/08/1977,108.6597
30/09/1977,106.9658
31/10/1977,105.7744
30/11/1977,112.8167
30/12/1977,113.0696
31/01/1978,109.4378
28/02/1978,110.682
31/03/1978,114.952
28/04/1978,115.5646
31/05/1978,113.5246
30/06/1978,113.2464
31/07/1978,116.1884
31/08/1978,121.0955
29/09/1978,122.7455
31/10/1978,109.8135
30/11/1978,110.5009
29/12/1978,111.2146
31/01/1979,119.7198
28/02/1979,119.4618
30/03/1979,128.9624
30/04/1979,130.9121
31/05/1979,130.7307
29/06/1979,140.8891
31/07/1979,144.4877
31/08/1979,159.0459
28/09/1979,154.5942
31/10/1979,136.904
30/11/1979,144.0734
31/12/1979,145.164
31/01/1980,155.1572
29/02/1980,153.3487
31/03/1980,132.9331
30/04/1980,144.1936
30/05/1980,155.2354
30/06/1980,164.2438
31/07/1980,177.3552
29/08/1980,181.1793
30/09/1980,177.974
31/10/1980,192.1031
28/11/1980,190.1321
31/12/1980,185.8382
30/01/1981,189.318
27/02/1981,190.5593
31/03/1981,201.9993
30/04/1981,204.9757
29/05/1981,195.5973
30/06/1981,203.4001
31/07/1981,204.5753
31/08/1981,193.8616
30/09/1981,183.0948
30/10/1981,192.552
30/11/1981,204.8402
31/12/1981,201.775
29/01/1982,199.9741
26/02/1982,195.8737
31/03/1982,196.9084
30/04/1982,201.8058
31/05/1982,199.8234
30/06/1982,192.4777
30/07/1982,200.1192
31/08/1982,214.2506
30/09/1982,224.508
29/10/1982,249.1392
30/11/1982,260.9918
31/12/1982,265.6247
31/01/1983,271.7101
28/02/1983,279.045
31/03/1983,302.2679
29/04/1983,318.2272
31/05/1983,318.4414
30/06/1983,315.5356
29/07/1983,311.2202
31/08/1983,308.8212
30/09/1983,315.7139
31/10/1983,323.6641
30/11/1983,328.3046
30/12/1983,333.2762
31/01/1984,337.638
29/02/1984,332.4006
30/03/1984,334.7151
30/04/1984,338.9434
31/05/1984,329.3748
29/06/1984,330.2104
31/07/1984,327.7952
31/08/1984,343.787
28/09/1984,361.7206
31/10/1984,372.6693
30/11/1984,377.418
31/12/1984,382.6522
31/01/1985,404.3078
28/02/1985,410.9628
29/03/1985,408.1961
30/04/1985,408.574
31/05/1985,419.6971
28/06/1985,429.4359
31/07/1985,433.3975
30/08/1985,409.7028
30/09/1985,396.9438
31/10/1985,409.4129
29/11/1985,402.8288
31/12/1985,405.3049
31/01/1986,420.9676
28/02/1986,436.8983
31/03/1986,447.6463
30/04/1986,450.3266
30/05/1986,447.7585
30/06/1986,463.5227
31/07/1986,465.6152
29/08/1986,485.0305
30/09/1986,473.4014
31/10/1986,490.8899
28/11/1986,488.1652
31/12/1986,483.0256
30/01/1987,493.3509
27/02/1987,508.4696
31/03/1987,509.4032
30/04/1987,495.5903
29/05/1987,490.872
30/06/1987,500.6364
31/07/1987,501.1307
31/08/1987,491.607
30/09/1987,481.5194
30/10/1987,412.7525
30/11/1987,416.6929
31/12/1987,431.4937
29/01/1988,467.0252
29/02/1988,478.2822
31/03/1988,479.2381
29/04/1988,483.1831
31/05/1988,477.6453
30/06/1988,490.0158
29/07/1988,496.213
31/08/1988,493.0586
30/09/1988,491.369
31/10/1988,487.718
30/11/1988,479.9109
30/12/1988,480.4916
31/01/1989,482.6922
28/02/1989,474.7114
31/03/1989,474.5768
28/04/1989,482.5201
31/05/1989,493.994
30/06/1989,498.3045
31/07/1989,510.1505
31/08/1989,510.6457
29/09/1989,504.6097
31/10/1989,483.764
30/11/1989,477.2107
29/12/1989,471.7776
