Date,Price
31/12/1969,100
30/01/1970,94.528
27/02/1970,97.558
31/03/1970,97.947
30/04/1970,88.877
29/05/1970,83.357
30/06/1970,81.389
31/07/1970,86.525
31/08/1970,89.464
30/09/1970,92.438
30/10/1970,91.164
30/11/1970,93.296
31/12/1970,98.017
29/01/1971,102.615
26/02/1971,103.788
31/03/1971,108.435
30/04/1971,112.068
31/05/1971,109.5
30/06/1971,110.702
30/07/1971,109.019
31/08/1971,111.488
30/09/1971,110.515
29/10/1971,106.433
30/11/1971,107.426
31/12/1971,117.193
31/01/1972,121.582
29/02/1972,126.354
31/03/1972,128.197
28/04/1972,129.991
31/05/1972,132.732
30/06/1972,129.744
31/07/1972,131.847
31/08/1972,135.69
29/09/1972,133.722
31/10/1972,134.917
30/11/1972,142.094
29/12/1972,144.79
31/01/1973,145.225
28/02/1973,146.32
30/03/1973,146.617
30/04/1973,139.331
31/05/1973,139.013
29/06/1973,139.984
31/07/1973,143.42
31/08/1973,137.559
28/09/1973,141.637
31/10/1973,143.167
30/11/1973,124.712
31/12/1973,123.787
31/01/1974,124.841
28/02/1974,126.894
29/03/1974,123.8
30/04/1974,121.85
31/05/1974,117.059
28/06/1974,113.49
31/07/1974,106.887
30/08/1974,96.694
30/09/1974,87.796
31/10/1974,96.318
29/11/1974,94.934
31/12/1974,93.484
31/01/1975,107.239
28/02/1975,116.842
31/03/1975,117.83
30/04/1975,122.839
30/05/1975,125.871
30/06/1975,127.582
31/07/1975,120.651
29/08/1975,118.919
30/09/1975,114.055
31/10/1975,122.042
28/11/1975,125.502
31/12/1975,125.732
30/01/1976,137.094
27/02/1976,136.202
31/03/1976,137.942
30/04/1976,137.064
31/05/1976,134.908
30/06/1976,139.189
30/07/1976,138.023
31/08/1976,137.837
30/09/1976,139.131
29/10/1976,134.396
30/11/1976,134.011
31/12/1976,144.228
31/01/1977,139.528
28/02/1977,139.06
31/03/1977,138.34
29/04/1977,140.004
31/05/1977,138.251
30/06/1977,143.608
29/07/1977,141.838
31/08/1977,142.518
30/09/1977,144.449
31/10/1977,142.147
30/11/1977,144.094
30/12/1977,147.115
31/01/1978,142.95
28/02/1978,142.028
31/03/1978,148.635
28/04/1978,155.498
31/05/1978,157.639
30/06/1978,159.391
31/07/1978,171.076
31/08/1978,175.192
29/09/1978,177.417
31/10/1978,174.171
30/11/1978,168.217
29/12/1978,173.914
31/01/1979,178.579
28/02/1979,175.375
30/03/1979,182.932
30/04/1979,182.886
31/05/1979,179.939
29/06/1979,185.346
31/07/1979,186.962
31/08/1979,194.695
28/09/1979,199.306
31/10/1979,184.702
30/11/1979,190.619
31/12/1979,195.949
31/01/1980,207.989
29/02/1980,208.339
31/03/1980,186.164
30/04/1980,198.609
30/05/1980,208.657
30/06/1980,218.936
31/07/1980,225.928
29/08/1980,230.624
30/09/1980,237.829
31/10/1980,245.044
28/11/1980,255.562
31/12/1980,250.269
30/01/1981,243.284
27/02/1981,244.275
31/03/1981,253.264
30/04/1981,253.653
29/05/1981,248.95
30/06/1981,248.816
31/07/1981,244.857
31/08/1981,240.322
30/09/1981,222.529
30/10/1981,229.625
30/11/1981,246.964
31/12/1981,241.998
29/01/1982,238.722
26/02/1982,224.495
31/03/1982,218.592
30/04/1982,229.574
31/05/1982,223.959
30/06/1982,214.09
30/07/1982,211.565
31/08/1982,227.135
30/09/1982,228.415
29/10/1982,244.329
30/11/1982,257.493
31/12/1982,269.277
31/01/1983,275.247
28/02/1983,281.25
31/03/1983,291.373
29/04/1983,312.404
31/05/1983,309.575
30/06/1983,319.526
29/07/1983,314.057
31/08/1983,315.975
30/09/1983,322.61
31/10/1983,319.053
30/11/1983,327.536
30/12/1983,331.964
31/01/1984,334.958
29/02/1984,329.677
30/03/1984,345.404
30/04/1984,344.367
31/05/1984,318.778
29/06/1984,321.754
31/07/1984,310.662
31/08/1984,342.057
28/09/1984,340.977
31/10/1984,344.837
30/11/1984,343.758
31/12/1984,351.132
31/01/1985,370.708
28/02/1985,371.62
29/03/1985,384.711
30/04/1985,383.849
31/05/1985,403.77
28/06/1985,411.168
31/07/1985,419.848
30/08/1985,423.483
30/09/1985,426.84
31/10/1985,450.006
29/11/1985,475.353
31/12/1985,497.798
31/01/1986,505.355
28/02/1986,551.085
31/03/1986,605.133
30/04/1986,621.957
30/05/1986,620.336
30/06/1986,645.401
31/07/1986,650.76
29/08/1986,707.795
30/09/1986,679.86
31/10/1986,668.349
28/11/1986,696.795
31/12/1986,710.853
30/01/1987,794.527
27/02/1987,820.892
31/03/1987,871.896
30/04/1987,923.196
29/05/1987,924.648
30/06/1987,924.277
31/07/1987,942.907
31/08/1987,998.805
30/09/1987,981.574
30/10/1987,815.069
30/11/1987,795.4
31/12/1987,830.015
29/01/1988,850.427
29/02/1988,899.942
31/03/1988,927.284
29/04/1988,939.151
31/05/1988,920.554
30/06/1988,919.445
29/07/1988,936.902
31/08/1988,885.595
30/09/1988,923.331
31/10/1988,984.956
