Date,Price
31/08/1986,100
30/09/1986,100.828
31/10/1986,102.588
30/11/1986,103.413
31/12/1986,103.963
31/01/1987,106.877
28/02/1987,108.672
31/03/1987,109.873
30/04/1987,107.473
31/05/1987,106.937
30/06/1987,108.415
31/07/1987,108.912
31/08/1987,110.011
30/09/1987,107.468
31/10/1987,104.525
30/11/1987,107.176
31/12/1987,108.611
31/01/1988,111.768
29/02/1988,114.847
31/03/1988,114.627
30/04/1988,115.076
31/05/1988,115.544
30/06/1988,117.906
31/07/1988,119.214
31/08/1988,119.479
30/09/1988,120.62
31/10/1988,122.354
30/11/1988,122.585
31/12/1988,123.12
31/01/1989,125.128
28/02/1989,125.874
31/03/1989,125.382
30/04/1989,125.433
31/05/1989,127.801
30/06/1989,129.746
31/07/1989,130.27
31/08/1989,130.878
30/09/1989,129.497
31/10/1989,126.286
30/11/1989,126.476
31/12/1989,125.963
31/01/1990,122.559
28/02/1990,120.707
31/03/1990,122.982
30/04/1990,123.747
31/05/1990,125.813
30/06/1990,128.965
31/07/1990,132.212
31/08/1990,126.165
30/09/1990,120.977
31/10/1990,117.433
30/11/1990,118.667
31/12/1990,120.469
31/01/1991,122.935
28/02/1991,133.6
31/03/1991,140.216
30/04/1991,145.058
31/05/1991,145.623
30/06/1991,148.929
31/07/1991,152.925
31/08/1991,156.447
30/09/1991,158.658
31/10/1991,164.042
30/11/1991,165.808
31/12/1991,167.658
31/01/1992,173.321
29/02/1992,177.702
31/03/1992,180.202
30/04/1992,181.136
31/05/1992,183.813
30/06/1992,185.932
31/07/1992,189.546
31/08/1992,191.96
30/09/1992,193.995
31/10/1992,191.498
30/11/1992,194.429
31/12/1992,196.904
31/01/1993,201.595
28/02/1993,205.2
31/03/1993,208.688
30/04/1993,210.121
31/05/1993,212.85
30/06/1993,216.822
31/07/1993,218.996
31/08/1993,221.001
30/09/1993,221.982
31/10/1993,226.205
30/11/1993,227.385
31/12/1993,229.776
31/01/1994,234.743
28/02/1994,233.112
31/03/1994,225.578
30/04/1994,222.772
31/05/1994,222.285
30/06/1994,223.302
31/07/1994,224.769
31/08/1994,226.431
30/09/1994,226.385
31/10/1994,226.982
30/11/1994,225.029
31/12/1994,227.4
31/01/1995,230.593
28/02/1995,237.984
31/03/1995,241.2
30/04/1995,247.435
31/05/1995,255.074
30/06/1995,256.789
31/07/1995,260.133
31/08/1995,261.498
30/09/1995,264.602
31/10/1995,266.773
30/11/1995,269.417
31/12/1995,273.931
31/01/1996,278.507
29/02/1996,279.358
31/03/1996,278.217
30/04/1996,278.606
31/05/1996,280.614
30/06/1996,281.869
31/07/1996,283.584
31/08/1996,287.109
30/09/1996,293.79
31/10/1996,296.34
30/11/1996,302.291
31/12/1996,304.804
31/01/1997,307.094
28/02/1997,311.815
31/03/1997,307.526
30/04/1997,311.469
31/05/1997,318.027
30/06/1997,322.942
31/07/1997,331.502
31/08/1997,331.104
30/09/1997,337.059
31/10/1997,338.78
30/11/1997,341.954
31/12/1997,345.24
31/01/1998,350.742
28/02/1998,352.163
31/03/1998,355.508
30/04/1998,357.035
31/05/1998,359.182
30/06/1998,361.037
31/07/1998,363.338
31/08/1998,344.997
30/09/1998,345.895
31/10/1998,338.51
30/11/1998,356.072
31/12/1998,355.434
31/01/1999,360.231
28/02/1999,357.78
31/03/1999,361.936
30/04/1999,368.558
31/05/1999,365.177
30/06/1999,364.272
31/07/1999,364.762
31/08/1999,360.908
30/09/1999,359.461
31/10/1999,357.511
30/11/1999,362.172
31/12/1999,364.359
31/01/2000,362.963
29/02/2000,363.739
31/03/2000,358.4
30/04/2000,358.405
31/05/2000,353.901
30/06/2000,360.73
31/07/2000,362.671
31/08/2000,366.231
30/09/2000,363.064
31/10/2000,351.502
30/11/2000,338.02
31/12/2000,345.714
31/01/2001,367.599
28/02/2001,373.183
31/03/2001,365.707
30/04/2001,360.745
31/05/2001,367.077
30/06/2001,357.411
31/07/2001,363.218
31/08/2001,366.076
30/09/2001,340.787
31/10/2001,351.693
30/11/2001,364.053
31/12/2001,361.192
31/01/2002,363.188
28/02/2002,358.402
31/03/2002,367.445
30/04/2002,373.338
31/05/2002,370.483
30/06/2002,341.812
31/07/2002,328.538
31/08/2002,336.744
30/09/2002,331.5
31/10/2002,328.714
30/11/2002,349.266
31/12/2002,354.349
31/01/2003,364.987
28/02/2003,369.897
31/03/2003,379.661
30/04/2003,401.726
31/05/2003,406.333
30/06/2003,417.71
31/07/2003,412.051
31/08/2003,417.314
30/09/2003,428.636
31/10/2003,437.528
30/11/2003,443.574
31/12/2003,454.095
31/01/2004,461.43
29/02/2004,460.924
31/03/2004,463.999
30/04/2004,460.936
31/05/2004,453.694
30/06/2004,460.285
31/07/2004,466.488
31/08/2004,474.965
30/09/2004,481.582
31/10/2004,490.867
30/11/2004,495.974
31/12/2004,503.454
31/01/2005,502.941
28/02/2005,510.125
31/03/2005,496.192
30/04/2005,490.869
31/05/2005,499.657
30/06/2005,509.166
31/07/2005,517.16
31/08/2005,519.032
30/09/2005,513.834
31/10/2005,510.086
30/11/2005,512.547
31/12/2005,517.239
31/01/2006,525.437
28/02/2006,528.759
31/03/2006,532.064
30/04/2006,535.483
31/05/2006,535.145
30/06/2006,533.116
31/07/2006,538.804
31/08/2006,547.522
30/09/2006,554.724
31/10/2006,562.824
30/11/2006,571.808
31/12/2006,578.103
31/01/2007,584.314
28/02/2007,592.453
31/03/2007,593.829
30/04/2007,601.687
31/05/2007,605.968
30/06/2007,595.755
31/07/2007,577.048
31/08/2007,583.48
30/09/2007,597.74
31/10/2007,601.359
30/11/2007,589.053
31/12/2007,590.78
31/01/2008,582.753
29/02/2008,575.834
31/03/2008,572.844
30/04/2008,596.707
31/05/2008,599.263
30/06/2008,583.206
31/07/2008,573.859
31/08/2008,575.711
30/09/2008,527.942
31/10/2008,441.896
30/11/2008,404.634
31/12/2008,434.878
31/01/2009,457.961
28/02/2009,442.085
31/03/2009,456.69
30/04/2009,509.054
31/05/2009,545.263
30/06/2009,562.601
31/07/2009,597.387
31/08/2009,609.537
30/09/2009,645.963
31/10/2009,657.502
30/11/2009,664.164
31/12/2009,684.983
31/01/2010,695.364
28/02/2010,696.441
31/03/2010,718.001
30/04/2010,734.077
31/05/2010,708.233
30/06/2010,717.467
31/07/2010,742.328
31/08/2010,743.489
30/09/2010,765.563
31/10/2010,784.13
30/11/2010,775.382
31/12/2010,789.035
31/01/2011,805.624
28/02/2011,816.395
31/03/2011,819.825
30/04/2011,832.286
31/05/2011,836.356
30/06/2011,827.955
31/07/2011,838.184
31/08/2011,804.597
30/09/2011,775.674
31/10/2011,821.871
30/11/2011,803.695
31/12/2011,823.616
31/01/2012,847.525
29/02/2012,866.836
31/03/2012,866.025
30/04/2012,874.878
31/05/2012,864.316
30/06/2012,881.894
31/07/2012,898.794
31/08/2012,909.632
30/09/2012,922.588
31/10/2012,930.197
30/11/2012,937.102
31/12/2012,951.963
31/01/2013,965.06
28/02/2013,969.526
31/03/2013,979.518
30/04/2013,997.708
31/05/2013,992.411
30/06/2013,966.251
31/07/2013,984.422
31/08/2013,978.318
30/09/2013,988.017
31/10/2013,1012.305
30/11/2013,1017.013
31/12/2013,1022.586
31/01/2014,1030.151
28/02/2014,1050.797
31/03/2014,1053.229
30/04/2014,1060.525
31/05/2014,1071.203
30/06/2014,1080.256
31/07/2014,1065.971
31/08/2014,1082.174
30/09/2014,1059.467
31/10/2014,1071.528
30/11/2014,1063.869
31/12/2014,1048.184
31/01/2015,1055.413
28/02/2015,1080.593
31/03/2015,1074.853
30/04/2015,1087.74
31/05/2015,1090.962
30/06/2015,1074.321
31/07/2015,1067.707
31/08/2015,1048.903
30/09/2015,1021.693
31/10/2015,1049.544
30/11/2015,1025.982
31/12/2015,999.517
31/01/2016,983.708
29/02/2016,988.283
31/03/2016,1031.969
30/04/2016,1073.204
31/05/2016,1080.948
30/06/2016,1092.664
31/07/2016,1120.262
31/08/2016,1145.215
30/09/2016,1152.624
31/10/2016,1156.226
30/11/2016,1151.666
31/12/2016,1174.319
31/01/2017,1190.088
28/02/2017,1208.659
31/03/2017,1206.123
30/04/2017,1219.789
31/05/2017,1230.684
30/06/2017,1231.983
31/07/2017,1246.193
31/08/2017,1245.87
30/09/2017,1257.063
31/10/2017,1261.914
30/11/2017,1258.528
31/12/2017,1262.196
31/01/2018,1270.289
28/02/2018,1258.446
31/03/2018,1250.677
30/04/2018,1258.996
31/05/2018,1258.806
30/06/2018,1263.153
31/07/2018,1277.268
31/08/2018,1286.518
30/09/2018,1293.994
31/10/2018,1272.803
30/11/2018,1261.253
31/12/2018,1233.608
31/01/2019,1290.267
28/02/2019,1312.053
31/03/2019,1324.909
30/04/2019,1343.445
31/05/2019,1326.369
30/06/2019,1358.893
31/07/2019,1365.851
31/08/2019,1371.181
30/09/2019,1375.528
31/10/2019,1378.722
30/11/2019,1382.487
31/12/2019,1411.387
31/01/2020,1411.447
29/02/2020,1389.571
31/03/2020,1226.174
30/04/2020,1272.773
31/05/2020,1330.985
30/06/2020,1343.958
31/07/2020,1408.173
31/08/2020,1422.03
30/09/2020,1407.206
31/10/2020,1413.786
30/11/2020,1470.376
31/12/2020,1498.421
31/01/2021,1504.156
28/02/2021,1509.397
