Date,Price
31/01/1996,13.7
29/02/1996,14
31/03/1996,14
30/04/1996,14.8
31/05/1996,15.5
30/06/1996,17
31/07/1996,17
31/08/1996,15.8
30/09/1996,15.5
31/10/1996,15.2
30/11/1996,15.2
31/12/1996,14.7
31/01/1997,14.2
28/02/1997,13.9
31/03/1997,13.9
30/04/1997,13.9
31/05/1997,13.9
30/06/1997,12.7
31/07/1997,12.7
31/08/1997,13.4
30/09/1997,13.4
31/10/1997,13.4
30/11/1997,13.4
31/12/1997,13.4
31/01/1998,12.9
28/02/1998,12.9
31/03/1998,12.6
30/04/1998,11.9
31/05/1998,11.6
30/06/1998,11.3
31/07/1998,11
31/08/1998,9.5
30/09/1998,9.5
31/10/1998,11.5
30/11/1998,13.5
31/12/1998,13.5
31/01/1999,13.5
28/02/1999,13
31/03/1999,12.5
30/04/1999,12
31/05/1999,12
30/06/1999,12
31/07/1999,11.5
31/08/1999,11.5
30/09/1999,11.5
31/10/1999,11.5
30/11/1999,11.2
31/12/1999,10.7
31/01/2000,10.3
29/02/2000,9.9
31/03/2000,9.6
30/04/2000,9.6
31/05/2000,9.3
30/06/2000,9.3
31/07/2000,9.3
31/08/2000,8.9
30/09/2000,8.6
31/10/2000,8.4
30/11/2000,8.2
31/12/2000,8
31/01/2001,7.7
28/02/2001,7.7
31/03/2001,7.2
30/04/2001,7.2
31/05/2001,7
30/06/2001,6.5
31/07/2001,6.3
31/08/2001,6.3
30/09/2001,6.3
31/10/2001,6.3
30/11/2001,5.8
31/12/2001,3.8
31/01/2002,3.8
28/02/2002,4.4
31/03/2002,4.4
30/04/2002,4.6
31/05/2002,5.6
30/06/2002,9.1
31/07/2002,9.1
31/08/2002,9.1
30/09/2002,9.1
31/10/2002,9.1
30/11/2002,9.1
31/12/2002,8.9
31/01/2003,8.9
28/02/2003,8.9
31/03/2003,8.7
30/04/2003,8.7
31/05/2003,8
30/06/2003,7.5
31/07/2003,7
31/08/2003,6.5
30/09/2003,6.1
31/10/2003,5.6
30/11/2003,5.2
31/12/2003,5.2
31/01/2004,4.5
29/02/2004,4.3
31/03/2004,4.3
30/04/2004,4.1
31/05/2004,4.1
30/06/2004,4.1
31/07/2004,4.1
31/08/2004,4.1
30/09/2004,4.1
31/10/2004,4.1
30/11/2004,3.9
31/12/2004,3.7
31/01/2005,3.5
28/02/2005,3.5
31/03/2005,3.5
30/04/2005,3.5
31/05/2005,3.5
30/06/2005,3.5
31/07/2005,3.5
31/08/2005,3.5
30/09/2005,3.75
31/10/2005,4
30/11/2005,4.5
31/12/2005,4.5
31/01/2006,4.75
28/02/2006,4.75
31/03/2006,5
30/04/2006,5.25
31/05/2006,5.25
30/06/2006,5.25
31/07/2006,5.5
31/08/2006,5.5
30/09/2006,5.5
31/10/2006,5.25
30/11/2006,5
31/12/2006,4.5
31/01/2007,4.5
28/02/2007,4.25
31/03/2007,4
30/04/2007,3.75
31/05/2007,3.5
30/06/2007,3.5
31/07/2007,3.75
31/08/2007,4
30/09/2007,4
31/10/2007,4
30/11/2007,4
31/12/2007,4.25
31/01/2008,4.25
29/02/2008,3.75
31/03/2008,3.25
30/04/2008,3.25
31/05/2008,3.5
30/06/2008,3.75
31/07/2008,4
31/08/2008,4.25
30/09/2008,4.25
31/10/2008,3.5
30/11/2008,2.5
31/12/2008,2.5
31/01/2009,1
28/02/2009,0.75
31/03/2009,0.5
30/04/2009,0.5
31/05/2009,0.5
30/06/2009,0.5
31/07/2009,0.5
31/08/2009,0.75
30/09/2009,0.75
31/10/2009,0.75
30/11/2009,1
31/12/2009,1.25
31/01/2010,1.25
28/02/2010,1.25
31/03/2010,1.25
30/04/2010,1.5
31/05/2010,1.5
30/06/2010,1.5
31/07/2010,1.75
31/08/2010,1.75
30/09/2010,2
31/10/2010,2
30/11/2010,2
31/12/2010,2
31/01/2011,2.25
28/02/2011,2.5
31/03/2011,3
30/04/2011,3
31/05/2011,3.25
30/06/2011,3.25
31/07/2011,3.25
31/08/2011,3.25
30/09/2011,3.25
31/10/2011,3
30/11/2011,3
31/12/2011,2.75
31/01/2012,2.5
29/02/2012,2.5
31/03/2012,2.5
30/04/2012,2.5
31/05/2012,2.5
30/06/2012,2.25
31/07/2012,2.25
31/08/2012,2.25
30/09/2012,2.25
31/10/2012,2.25
30/11/2012,2
31/12/2012,1.75
31/01/2013,1.75
28/02/2013,1.75
31/03/2013,1.75
30/04/2013,1.75
31/05/2013,1.25
30/06/2013,1.25
31/07/2013,1.25
31/08/2013,1.25
30/09/2013,1
31/10/2013,1
30/11/2013,1
31/12/2013,1
31/01/2014,1
28/02/2014,0.75
31/03/2014,0.75
30/04/2014,0.75
31/05/2014,0.75
30/06/2014,0.75
31/07/2014,0.5
31/08/2014,0.25
30/09/2014,0.25
31/10/2014,0.25
30/11/2014,0.25
31/12/2014,0.25
31/01/2015,0.25
28/02/2015,0.1
31/03/2015,0.1
30/04/2015,0.1
31/05/2015,0.1
30/06/2015,0.1
31/07/2015,0.1
31/08/2015,0.1
30/09/2015,0.1
31/10/2015,0.1
30/11/2015,0.1
31/12/2015,0.1
31/01/2016,0.1
29/02/2016,0.1
31/03/2016,0.1
30/04/2016,0.1
31/05/2016,0.1
30/06/2016,0.1
31/07/2016,0.1
31/08/2016,0.1
30/09/2016,0.1
31/10/2016,0.1
30/11/2016,0.1
31/12/2016,0.1
31/01/2017,0.1
28/02/2017,0.1
31/03/2017,0.1
30/04/2017,0.1
31/05/2017,0.1
30/06/2017,0.1
31/07/2017,0.1
31/08/2017,0.1
30/09/2017,0.1
31/10/2017,0.1
30/11/2017,0.1
31/12/2017,0.1
31/01/2018,0.1
28/02/2018,0.1
31/03/2018,0.1
30/04/2018,0.1
31/05/2018,0.1
30/06/2018,0.1
31/07/2018,0.1
31/08/2018,0.1
