Date,Price
29/09/00,100.94
31/10/00,101.34
30/11/00,102.87
29/12/00,104.48
31/01/01,106.51
28/02/01,107.4
30/03/01,108.13
30/04/01,107.78
31/05/01,108.63
29/06/01,109.19
31/07/01,111.35
31/08/01,112.55
28/09/01,112.65
31/10/01,114.95
30/11/01,114.32
31/12/01,113.5
31/01/02,114.26
28/02/02,114.74
29/03/02,113.25
30/04/02,114.5
31/05/02,115.37
28/06/02,115.94
31/07/02,116.34
30/08/02,118.64
30/09/02,120.43
31/10/02,119.54
29/11/02,120.52
31/12/02,123.25
31/01/03,123.86
28/02/03,125.56
31/03/03,125.55
30/04/03,127.13
30/05/03,130.25
30/06/03,130.02
31/07/03,126.56
29/08/03,126.93
30/09/03,130.01
31/10/03,128.67
28/11/03,128.96
31/12/03,130.42
30/01/04,131.24
27/02/04,132.69
31/03/04,133.66
30/04/04,131.04
31/05/04,130.33
30/06/04,130.7
30/07/04,131.87
31/08/04,134.31
30/09/04,135.03
29/10/04,136.16
30/11/04,136.16
31/12/04,137.34
31/01/05,138.36
28/02/05,137.9
31/03/05,137.18
29/04/05,138.82
31/05/05,140.44
30/06/05,141.78
29/07/05,140.96
31/08/05,142.66
30/09/05,141.63
31/10/05,140.51
30/11/05,141.29
30/12/05,142.49
31/01/06,142.37
28/02/06,142.78
31/03/06,141.23
28/04/06,140.75
31/05/06,141.02
30/06/06,140.87
31/07/06,142.69
31/08/06,144.82
29/09/06,145.99
31/10/06,146.99
30/11/06,148.43
29/12/06,147.45
31/01/07,147.36
28/02/07,149.69
30/03/07,149.21
30/04/07,149.79
31/05/07,148.67
29/06/07,147.96
31/07/07,148.7
31/08/07,149.9
28/09/07,150.62
31/10/07,152.1
30/11/07,152.68
31/12/07,152.98
31/01/08,154.64
29/02/08,154.49
31/03/08,152.88
30/04/08,153.5
30/05/08,152.31
30/06/08,151.15
31/07/08,151.59
29/08/08,152.83
30/09/08,145.52
31/10/08,140.06
28/11/08,143.62
31/12/08,148.45
30/01/09,148
27/02/09,146.49
31/03/09,146.46
30/04/09,149.86
29/05/09,153.86
30/06/09,157.09
31/07/09,161.99
31/08/09,164.83
30/09/09,167.37
30/10/09,168.42
30/11/09,170.35
31/12/09,169.36
29/01/10,171.97
26/02/10,172.66
31/03/10,173.78
30/04/10,175.53
31/05/10,175.02
30/06/10,177.14
30/07/10,179.85
31/08/10,183.46
30/09/10,183.92
29/10/10,184.13
30/11/10,181.97
31/12/10,180.92
31/01/11,180.87
28/02/11,181.96
31/03/11,181.79
29/04/11,184.18
31/05/11,186.03
30/06/11,185
29/07/11,188.34
31/08/11,188.03
30/09/11,187.56
31/10/11,190.16
30/11/11,186.59
30/12/11,190.1
31/01/12,193.97
29/02/12,195.86
30/03/12,195.72
30/04/12,197.2
31/05/12,198.46
29/06/12,199.06
31/07/12,203.93
31/08/12,205.03
28/09/12,206.4
31/10/12,208.45
30/11/12,209.21
31/12/12,209.78
31/01/13,208.06
28/02/13,209.64
29/03/13,210.25
30/04/13,213.6
31/05/13,210.28
28/06/13,205.1
31/07/13,206.81
30/08/13,205.45
30/09/13,207.2
31/10/13,209.92
29/11/13,209.61
31/12/13,208.88
31/01/14,211.87
28/02/14,213.69
31/03/14,214.03
30/04/14,216.08
30/05/14,218.87
30/06/14,219.39
31/07/14,219.69
29/08/14,222.67
30/09/14,220.94
31/10/14,222.75
28/11/14,224.35
31/12/14,224.53
30/01/15,229.54
27/02/15,228.39
31/03/15,229.25
30/04/15,228.04
29/05/15,227.14
30/06/15,223.37
31/07/15,225.15
31/08/15,223.81
30/09/15,224.1
30/10/15,225.53
30/11/15,225.73
31/12/15,224.23
29/01/16,225.67
29/02/16,227.15
31/03/16,231.62
29/04/16,233.56
31/05/16,234.03
30/06/16,238.34
29/07/16,241.83
31/08/16,242.9
30/09/16,242.46
31/10/16,240.46
30/11/16,235.53
30/12/16,236.99
31/01/17,237.31
28/02/17,239.99
31/03/17,239.85
28/04/17,241.88
31/05/17,243.99
30/06/17,243.92
31/07/17,245.57
31/08/17,247.7
29/09/17,247.02
31/10/17,248.46
30/11/17,248.42
29/12/17,249.7
31/01/18,247.95
28/02/18,245.83
30/03/18,246.6
30/04/18,245.42
31/05/18,246.28
29/06/18,245.84
31/07/18,247.22
31/08/18,248.39
28/09/18,247.66
31/10/18,245.86
30/11/18,245.59
31/12/18,248.53
31/01/19,252.97
28/02/19,254.01
29/03/19,259.33
30/04/19,260.78
31/05/19,263.74
28/06/19,268.96
31/07/19,271.38
30/08/19,277.82
30/09/19,276.38
31/10/19,277.14
29/11/19,277.47
31/12/19,277.98
31/01/20,283.68
28/02/20,286.21
31/03/20,268.92
30/04/20,279.31
29/05/20,282.94
30/06/20,287.52
31/07/20,294.45
31/08/20,292.39
30/09/20,292.41
30/10/20,292.7
30/11/20,298.15
31/12/20,299.6
29/01/21,297.48
26/02/21,293.02
