Date,Price
30/06/1989,0.74
31/07/1989,0.8
31/08/1989,0.75
29/09/1989,0.75
31/10/1989,0.76
30/11/1989,0.94
29/12/1989,0.97
31/01/1990,0.95
28/02/1990,0.92
30/03/1990,0.91
30/04/1990,0.91
31/05/1990,0.87
29/06/1990,0.88
31/07/1990,0.91
31/08/1990,0.94
28/09/1990,1.08
31/10/1990,1.34
30/11/1990,1.44
31/12/1990,1.51
31/01/1991,1.54
28/02/1991,1.24
29/03/1991,1.11
30/04/1991,1.06
31/05/1991,1.02
28/06/1991,1.02
31/07/1991,0.95
30/08/1991,0.96
30/09/1991,0.97
31/10/1991,0.97
29/11/1991,1.01
31/12/1991,1.07
31/01/1992,1.02
28/02/1992,0.95
31/03/1992,0.94
30/04/1992,0.94
29/05/1992,0.88
30/06/1992,0.87
31/07/1992,0.85
31/08/1992,0.89
30/09/1992,0.93
30/10/1992,1.01
30/11/1992,0.88
31/12/1992,0.88
29/01/1993,0.86
26/02/1993,0.83
31/03/1993,0.82
30/04/1993,0.8
31/05/1993,0.77
30/06/1993,0.77
30/07/1993,0.73
31/08/1993,0.73
30/09/1993,0.79
29/10/1993,0.78
30/11/1993,0.74
31/12/1993,0.73
31/01/1994,0.67
28/02/1994,0.66
31/03/1994,0.72
29/04/1994,0.76
31/05/1994,0.79
30/06/1994,0.77
29/07/1994,0.71
31/08/1994,0.7
30/09/1994,0.72
31/10/1994,0.74
30/11/1994,0.77
30/12/1994,0.78
31/01/1995,0.76
28/02/1995,0.71
31/03/1995,0.68
28/04/1995,0.67
31/05/1995,0.65
30/06/1995,0.65
31/07/1995,0.64
31/08/1995,0.61
29/09/1995,0.62
31/10/1995,0.67
30/11/1995,0.64
29/12/1995,0.65
31/01/1996,0.63
29/02/1996,0.64
29/03/1996,0.61
30/04/1996,0.6
31/05/1996,0.58
28/06/1996,0.58
31/07/1996,0.59
30/08/1996,0.59
30/09/1996,0.56
31/10/1996,0.54
29/11/1996,0.54
31/12/1996,0.56
31/01/1997,0.55
28/02/1997,0.52
31/03/1997,0.54
30/04/1997,0.57
30/05/1997,0.55
30/06/1997,0.54
31/07/1997,0.51
29/08/1997,0.55
30/09/1997,0.55
31/10/1997,0.69
28/11/1997,0.71
31/12/1997,0.67
30/01/1998,0.75
27/02/1998,0.71
31/03/1998,0.7
30/04/1998,0.69
29/05/1998,0.69
30/06/1998,0.77
31/07/1998,0.81
31/08/1998,1.23
30/09/1998,1.23
30/10/1998,1.45
30/11/1998,1.17
31/12/1998,1.18
29/01/1999,1.11
26/02/1999,1.04
31/03/1999,1.02
30/04/1999,1.02
31/05/1999,1.06
30/06/1999,1.12
30/07/1999,1.2
31/08/1999,1.25
30/09/1999,1.22
29/10/1999,1.17
30/11/1999,1.12
31/12/1999,1.11
31/01/2000,1.15
29/02/2000,1.22
31/03/2000,1.46
28/04/2000,1.56
31/05/2000,1.65
30/06/2000,1.63
31/07/2000,1.62
31/08/2000,1.64
29/09/2000,1.61
31/10/2000,1.82
30/11/2000,1.98
29/12/2000,1.99
31/01/2001,1.71
28/02/2001,1.77
30/03/2001,1.78
30/04/2001,1.64
31/05/2001,1.56
29/06/2001,1.56
31/07/2001,1.54
31/08/2001,1.56
28/09/2001,1.95
31/10/2001,2.01
30/11/2001,1.78
31/12/2001,1.74
31/01/2002,1.72
28/02/2002,1.79
29/03/2002,1.69
30/04/2002,1.87
31/05/2002,1.61
28/06/2002,1.84
31/07/2002,2.29
30/08/2002,2.24
30/09/2002,2.38
31/10/2002,2.47
29/11/2002,1.92
31/12/2002,1.84
31/01/2003,1.68
28/02/2003,1.64
31/03/2003,1.59
30/04/2003,1.33
30/05/2003,1.3
30/06/2003,1.23
31/07/2003,1.19
29/08/2003,1.17
30/09/2003,1.11
31/10/2003,1.03
28/11/2003,0.98
31/12/2003,0.95
30/01/2004,0.93
27/02/2004,0.95
31/03/2004,0.97
30/04/2004,0.92
31/05/2004,0.99
30/06/2004,0.99
30/07/2004,0.95
31/08/2004,0.95
30/09/2004,0.9
29/10/2004,0.9
30/11/2004,0.84
31/12/2004,0.81
31/01/2005,0.82
28/02/2005,0.77
31/03/2005,0.93
