Date,Price
04/11/21,402.88
03/11/21,401.82
02/11/21,403.32
01/11/21,403.32
31/10/21,403.02
28/10/21,402.21
27/10/21,402.4
26/10/21,402.27
25/10/21,400.96
24/10/21,398.97
21/10/21,398.06
20/10/21,399.03
19/10/21,398.59
18/10/21,399.03
17/10/21,400.02
14/10/21,400.77
13/10/21,399.75
12/10/21,397.36
11/10/21,395.96
10/10/21,394.22
07/10/21,394.89
06/10/21,395.7
05/10/21,394.47
04/10/21,394.16
03/10/21,394.86
30/09/21,394.62
29/09/21,394.44
26/09/21,394.01
23/09/21,394.63
22/09/21,393.86
19/09/21,393.33
14/09/21,394.45
13/09/21,394.04
12/09/21,393.37
09/09/21,394.04
05/09/21,394.02
02/09/21,394.45
01/09/21,394.08
31/08/21,394.15
30/08/21,393.07
29/08/21,392.48
26/08/21,391.28
25/08/21,390.59
24/08/21,390.74
23/08/21,390.9
22/08/21,391.18
19/08/21,390.91
18/08/21,390.66
17/08/21,390.42
16/08/21,390.49
15/08/21,389.59
12/08/21,388.71
11/08/21,388.74
10/08/21,389.39
09/08/21,389.82
08/08/21,389.6
05/08/21,390.79
04/08/21,390.93
03/08/21,390.7
02/08/21,390.16
01/08/21,389.19
29/07/21,388.44
28/07/21,388.19
27/07/21,387.38
26/07/21,386.87
25/07/21,386.2
22/07/21,386.03
21/07/21,385.08
20/07/21,385.85
19/07/21,387
15/07/21,387.95
14/07/21,387.55
13/07/21,386.7
12/07/21,386.82
11/07/21,386.48
08/07/21,387.15
07/07/21,387.97
06/07/21,387.59
05/07/21,386.74
04/07/21,386.12
01/07/21,385.5
30/06/21,384.66
29/06/21,384
28/06/21,383.92
27/06/21,383.45
24/06/21,383.98
23/06/21,383.88
22/06/21,383.59
21/06/21,383.87
20/06/21,384.98
17/06/21,385
16/06/21,385.64
15/06/21,385.96
14/06/21,386.2
13/06/21,385.81
10/06/21,385.33
09/06/21,385.12
08/06/21,384.53
07/06/21,384.81
06/06/21,385.39
03/06/21,384.53
02/06/21,384.28
01/06/21,383.65
31/05/21,382.92
30/05/21,381.96
27/05/21,381.48
26/05/21,382.41
25/05/21,382.66
24/05/21,382.5
23/05/21,382.13
20/05/21,382.25
19/05/21,382.87
18/05/21,383
13/05/21,384.4
12/05/21,383.28
11/05/21,381.82
10/05/21,384.41
09/05/21,383.38
06/05/21,382.73
05/05/21,383.6
04/05/21,383.02
03/05/21,382.16
02/05/21,380.49
29/04/21,379.84
28/04/21,379.84
27/04/21,380.44
26/04/21,381.11
25/04/21,380.74
22/04/21,380.23
21/04/21,380.24
20/04/21,380.1
19/04/21,380
18/04/21,380.58
13/04/21,379.37
12/04/21,379.83
11/04/21,380.07
08/04/21,380.28
07/04/21,379.96
06/04/21,380.21
05/04/21,380.27
04/04/21,380.43
01/04/21,380.42
31/03/21,380.19
30/03/21,379.76
29/03/21,380.92
25/03/21,380.29
24/03/21,379.53
22/03/21,379.17
21/03/21,378.02
18/03/21,377.57
17/03/21,378.37
16/03/21,378.92
15/03/21,377.48
14/03/21,377.01
11/03/21,377.81
10/03/21,377.86
09/03/21,378.03
08/03/21,377.61
07/03/21,376.93
04/03/21,377.52
03/03/21,376.86
02/03/21,378.02
01/03/21,377.39
28/02/21,376.09
25/02/21,375.44
24/02/21,376.22
23/02/21,376.8
22/02/21,376.1
21/02/21,375.66
18/02/21,376.13
17/02/21,377.18
16/02/21,376.98
15/02/21,377.41
14/02/21,378.22
11/02/21,379.4
10/02/21,379.23
09/02/21,379.36
08/02/21,378.47
07/02/21,379.38
