Date,Currency,Period Years,Period Days,RF,AAA,AA+,AA,AA-,A+,A,A-,BBB+,NR1,NR2,NR3
04/04/12,Linked Shekel,1,365,-0.574946,-0.140946,0.292954,0.593554,0.607954,0.736654,1.986654,3.223254,5.874654,14.276654,32.243454,54.161154
04/04/12,Linked Shekel,5,1825,0.942662,1.314962,1.687162,1.907262,2.121762,2.419862,3.723762,5.316062,7.241762,9.161462,12.344462,16.131662
04/04/12,Linked Shekel,10,3650,2.218735,2.662735,3.106735,3.248435,3.557835,4.105535,5.217235,6.953235,8.212035,9.366035,10.818335,12.518035
04/04/12,Linked Shekel,15,5475,2.725615,3.341115,3.956615,4.051115,4.372315,5.104315,5.992615,7.744615,8.583815,9.518415,10.483015,11.611215
04/04/12,Linked Shekel,20,7300,2.926443,3.654043,4.381543,4.452443,4.779543,5.603743,6.380343,8.140343,8.769743,9.634043,10.453643,11.434243
04/04/12,Linked Shekel,25,9125,3.027045,3.831845,4.636545,4.693245,5.023845,5.903445,6.612945,8.377745,8.881345,9.734645,10.554245,11.534845
05/04/12,Linked Shekel,1,365,-0.568611,-0.156011,0.256589,0.461189,0.520589,0.687089,1.846189,3.172589,5.746789,14.158589,32.150489,54.105689
05/04/12,Linked Shekel,5,1825,0.922461,1.284461,1.646561,1.832461,2.077861,2.378461,3.649961,5.369761,7.166861,9.090861,12.284861,16.087661
05/04/12,Linked Shekel,10,3650,2.20777,2.64197,3.07617,3.20977,3.57677,4.06097,5.21887,7.37277,8.52177,9.64817,11.03257,12.63997
05/04/12,Linked Shekel,15,5475,2.734692,3.333792,3.932892,4.021992,4.442392,5.056592,6.034292,8.471292,9.237292,10.114592,10.939792,11.881792
05/04/12,Linked Shekel,20,7300,2.935509,3.648409,4.361309,4.428109,4.875209,5.554409,6.442009,9.020609,9.595109,10.390709,11.040109,11.786609
05/04/12,Linked Shekel,25,9125,3.026603,3.822503,4.618403,4.671803,5.134903,5.853003,6.686603,9.350103,9.809703,10.481803,11.131203,11.877703
08/04/12,Linked Shekel,1,365,-0.60728,-0.18218,0.24282,0.45582,0.52742,0.74522,2.04692,3.44302,6.15852,14.53762,32.44512,54.27442
08/04/12,Linked Shekel,5,1825,0.889155,1.243355,1.597555,1.814155,2.058455,2.391855,3.466855,5.420155,7.277455,9.189955,12.355055,16.116855
08/04/12,Linked Shekel,10,3650,2.169356,2.567356,2.965256,3.134756,3.527456,4.037556,4.760056,7.207656,8.374256,9.510156,10.917756,12.556556
08/04/12,Linked Shekel,15,5475,2.718201,3.250601,3.783001,3.896001,4.375101,5.011301,5.493001,8.188301,8.966001,9.866501,10.747801,11.763701
08/04/12,Linked Shekel,20,7300,2.930506,3.561106,4.191806,4.276506,4.798806,5.498106,5.859406,8.678606,9.261806,10.086306,10.806206,11.647506
08/04/12,Linked Shekel,25,9125,3.024676,3.730876,4.437076,4.504876,5.053076,5.790276,6.079276,8.972776,9.439376,10.180476,10.900376,11.741676
09/04/12,Linked Shekel,1,365,-0.632919,-0.203119,0.226681,0.370381,0.370381,0.537081,2.024181,3.223681,6.755881,15.089681,32.879781,54.534881
09/04/12,Linked Shekel,5,1825,0.875377,1.255977,1.636577,1.859277,2.274577,2.386977,3.651277,5.260277,7.561877,9.450377,12.555077,16.231877
09/04/12,Linked Shekel,10,3650,2.153614,2.544414,2.935114,3.112014,3.776214,4.021114,4.887314,7.019414,8.402714,9.534714,10.933014,12.559114
09/04/12,Linked Shekel,15,5475,2.68044,3.18874,3.69694,3.85484,4.69624,4.98074,5.55824,8.02374,8.94594,9.84484,10.72234,11.73304
09/04/12,Linked Shekel,20,7300,2.908198,3.493098,4.077898,4.226298,5.156298,5.460598,5.893698,8.525898,9.217498,10.043898,10.768398,11.615998
09/04/12,Linked Shekel,25,9125,3.023865,3.665165,4.306465,4.449165,5.432365,5.748465,6.094965,8.827165,9.380565,10.159565,10.884065,11.731665
10/04/12,Linked Shekel,1,365,-0.710728,-0.261228,0.188272,0.437672,0.437672,0.437672,2.028472,3.084072,6.835772,15.158072,32.918472,54.529272
10/04/12,Linked Shekel,5,1825,0.863807,1.264007,1.664107,1.839807,2.320007,2.456407,3.555407,5.656607,7.376607,9.279107,12.419007,16.145407
10/04/12,Linked Shekel,10,3650,2.13379,2.58629,3.03879,3.12659,3.79719,3.96059,4.76559,7.49909,8.36109,9.49509,10.89799,12.53029
10/04/12,Linked Shekel,15,5475,2.663524,3.257424,3.851324,3.909924,4.713024,4.821924,5.403524,8.456624,9.031324,9.920924,10.776024,11.757124
10/04/12,Linked Shekel,20,7300,2.905794,3.581694,4.257594,4.301494,5.170894,5.252594,5.722494,8.935394,9.366394,10.179694,10.872194,11.676194
10/04/12,Linked Shekel,25,9125,3.033814,3.767614,4.501314,4.536514,5.445614,5.511014,5.913914,9.222614,9.567414,10.307714,11.000214,11.804214
11/04/12,Linked Shekel,1,365,-0.829089,-0.324689,0.179711,0.492211,0.543211,0.705211,1.707011,3.458411,7.698411,15.948611,33.523111,54.859111
11/04/12,Linked Shekel,5,1825,0.84282,1.21372,1.58472,1.80642,2.03992,2.28142,3.38072,5.49042,8.00262,9.85222,12.85992,16.40142
11/04/12,Linked Shekel,10,3650,2.132329,2.583329,3.034329,3.172829,3.750129,3.971529,4.923329,7.259129,8.619529,9.730729,11.077829,12.635229
11/04/12,Linked Shekel,15,5475,2.667901,3.284801,3.901801,3.994101,4.869801,5.017501,5.728501,8.224001,9.131001,10.011901,10.845901,11.799401
11/04/12,Linked Shekel,20,7300,2.907709,3.621609,4.335509,4.404709,5.429709,5.540409,6.131109,8.706509,9.386709,10.198409,10.887009,11.685709
11/04/12,Linked Shekel,25,9125,3.036494,3.816094,4.595694,4.651094,5.765694,5.854194,6.372694,8.995994,9.540194,10.327194,11.015794,11.814494
15/04/12,Linked Shekel,1,365,-0.881971,-0.365371,0.151329,0.385429,0.485529,0.647229,1.747229,3.068729,5.558529,13.961229,31.929729,53.849929
15/04/12,Linked Shekel,5,1825,0.831008,1.197608,1.564208,1.747508,2.053408,2.275108,3.421508,5.360608,6.972108,8.904408,12.119008,15.951208
15/04/12,Linked Shekel,10,3650,2.125048,2.574748,3.024348,3.142448,3.806448,4.002848,4.892248,7.366748,8.428648,9.555948,10.942648,12.552948
15/04/12,Linked Shekel,15,5475,2.677873,3.287573,3.897273,3.976073,4.951773,5.082673,5.675573,8.460673,9.168673,10.046973,10.874873,11.820273
15/04/12,Linked Shekel,20,7300,2.911404,3.622604,4.333804,4.392804,5.524404,5.622604,6.067304,9.007604,9.538604,10.337104,10.993604,11.749504
15/04/12,Linked Shekel,25,9125,3.032125,3.813925,4.595625,4.642925,5.868025,5.946525,6.302325,9.335825,9.760625,10.457825,11.114325,11.870225
16/04/12,Linked Shekel,1,365,-0.6455,-0.204,0.2376,0.4668,0.6346,0.8325,2.1277,3.4362,7.2878,15.5817,33.2689,54.7715
16/04/12,Linked Shekel,5,1825,0.91256,1.26506,1.61756,1.80576,2.14096,2.35746,3.80706,5.23316,7.70426,9.58426,12.66746,16.31416
16/04/12,Linked Shekel,10,3650,2.176605,2.606205,3.035805,3.167405,3.841405,4.025605,5.235805,6.883405,8.337205,9.477005,10.894005,12.545605
16/04/12,Linked Shekel,15,5475,2.707244,3.295644,3.884044,3.971844,4.953244,5.076044,5.975044,7.787744,8.756944,9.674944,10.599044,11.672144
16/04/12,Linked Shekel,20,7300,2.931551,3.619851,4.308151,4.373951,5.509151,5.601251,6.344651,8.239851,8.966751,9.815851,10.596951,11.523051
16/04/12,Linked Shekel,25,9125,3.053477,3.808077,4.562677,4.615277,5.842677,5.916377,6.566377,8.511177,9.092677,9.937777,10.718877,11.644977
17/04/12,Linked Shekel,1,365,-0.654993,-0.236593,0.181807,0.438807,0.438807,0.539807,2.133007,2.943707,6.258307,14.626707,32.506407,54.294507
17/04/12,Linked Shekel,5,1825,0.922458,1.306158,1.689858,1.844058,2.249158,2.389858,3.746658,5.447658,7.293958,9.207958,12.376358,16.142958
17/04/12,Linked Shekel,10,3650,2.207275,2.644975,3.082675,3.159775,3.798075,3.919475,5.588575,6.957875,8.087875,9.251475,10.727375,12.459375
17/04/12,Linked Shekel,15,5475,2.731159,3.313359,3.895559,3.946959,4.744559,4.825459,6.742159,7.774259,8.527559,9.467359,10.444959,11.590959
17/04/12,Linked Shekel,20,7300,2.943172,3.622572,4.302072,4.340572,5.217772,5.278472,7.318972,8.182372,8.747372,9.614772,10.441972,11.433772
17/04/12,Linked Shekel,25,9125,3.055162,3.800562,4.545962,4.576762,5.501762,5.550262,7.665062,8.427262,8.879262,9.726762,10.553962,11.545762
18/04/12,Linked Shekel,1,365,-0.718615,-0.270515,0.177485,0.478185,0.478185,0.515685,2.058885,3.087585,6.245685,14.610385,32.480485,54.254285
