Date,Price
31/05/1994,320.4534
30/06/1994,321.0385
29/07/1994,326.0859
31/08/1994,336.8094
30/09/1994,329.3557
31/10/1994,336.4897
30/11/1994,320.3335
30/12/1994,323.2662
31/01/1995,316.7069
28/02/1995,318.5399
31/03/1995,332.9208
28/04/1995,343.186
31/05/1995,345.3903
30/06/1995,346.2228
31/07/1995,363.1644
31/08/1995,356.9229
29/09/1995,365.4378
31/10/1995,358.0913
30/11/1995,368.2107
29/12/1995,378.9511
31/01/1996,385.8009
29/02/1996,388.9232
29/03/1996,394.9552
30/04/1996,407.3393
31/05/1996,408.3494
28/06/1996,408.506
31/07/1996,390.9386
30/08/1996,396.9691
30/09/1996,410.0438
31/10/1996,409.3618
29/11/1996,427.8232
31/12/1996,422.1674
31/01/1997,426.6493
28/02/1997,430.9839
31/03/1997,421.2341
30/04/1997,429.1171
30/05/1997,458.5778
30/06/1997,479.843
31/07/1997,498.6628
29/08/1997,469.4341
30/09/1997,491.8802
31/10/1997,463.0412
28/11/1997,464.5555
31/12/1997,468.9964
30/01/1998,477.4526
27/02/1998,511.277
31/03/1998,532.5159
30/04/1998,537.2204
29/05/1998,526.3367
30/06/1998,531.7594
31/07/1998,528.0168
31/08/1998,450.4362
30/09/1998,460.1192
30/10/1998,499.5992
30/11/1998,527.6084
31/12/1998,552.5616
29/01/1999,562.5762
26/02/1999,546.5761
31/03/1999,571.3912
30/04/1999,600.1935
31/05/1999,582.0518
30/06/1999,611.7861
30/07/1999,611.0613
31/08/1999,612.4241
30/09/1999,608.8566
29/10/1999,638.1733
30/11/1999,665.9381
31/12/1999,722.0236
31/01/2000,688.677
29/02/2000,708.2476
31/03/2000,736.32
28/04/2000,691.0782
31/05/2000,666.5036
30/06/2000,696.5663
31/07/2000,673.5941
31/08/2000,704.7424
29/09/2000,667.7158
31/10/2000,645.9758
30/11/2000,598.4069
29/12/2000,611.1144
31/01/2001,628.6354
28/02/2001,574.4875
30/03/2001,533.3456
30/04/2001,573.5192
31/05/2001,569.1931
29/06/2001,553.6149
31/07/2001,540.3993
31/08/2001,517.5326
28/09/2001,466.4549
31/10/2001,479.9233
30/11/2001,508.6888
31/12/2001,515.4897
31/01/2002,501.8614
28/02/2002,497.8421
29/03/2002,522.9849
30/04/2002,511.6261
31/05/2002,512.6044
28/06/2002,481.403
31/07/2002,440.5282
30/08/2002,441.9326
30/09/2002,396.0563
31/10/2002,421.9793
29/11/2002,444.7455
31/12/2002,424.8535
31/01/2003,412.6818
28/02/2003,405.4203
31/03/2003,404.3578
30/04/2003,439.5067
30/05/2003,467.1424
30/06/2003,476.4021
31/07/2003,487.6221
29/08/2003,500.6178
30/09/2003,504.137
31/10/2003,535.4449
28/11/2003,544.0641
31/12/2003,575.8667
30/01/2004,587.5934
27/02/2004,599.2084
31/03/2004,598.3931
30/04/2004,582.5585
31/05/2004,587.1175
30/06/2004,600.0549
30/07/2004,579.4926
31/08/2004,582.6081
30/09/2004,595.934
29/10/2004,610.4089
30/11/2004,644.9493
31/12/2004,670.4474
31/01/2005,657.0046
28/02/2005,679.6292
31/03/2005,664.7195
29/04/2005,648.7779
31/05/2005,662.7438
30/06/2005,671.4425
29/07/2005,697.5898
31/08/2005,702.5942
30/09/2005,722.762
31/10/2005,703.3712
30/11/2005,729.1332
30/12/2005,747.8433
31/01/2006,786.8655
28/02/2006,785.4407
31/03/2006,803.9182
28/04/2006,829.6881
31/05/2006,796.4878
30/06/2006,795.1773
31/07/2006,798.3689
31/08/2006,818.9897
29/09/2006,827.9332
31/10/2006,859.5563
30/11/2006,885.2697
29/12/2006,904.5135
31/01/2007,914.4348
28/02/2007,911.2202
30/03/2007,929.8854
30/04/2007,970.1455
31/05/2007,1000
29/06/2007,996.5375
31/07/2007,980.6409
31/08/2007,975.9907
28/09/2007,1025.973
31/10/2007,1066.723
30/11/2007,1017.419
31/12/2007,1005.492
31/01/2008,922.7409
29/02/2008,926.4738
31/03/2008,912.295
30/04/2008,961.9554
30/05/2008,979.4274
30/06/2008,898.6624
31/07/2008,876.1442
29/08/2008,858.6478
30/09/2008,749.7887
31/10/2008,598.1127
28/11/2008,557.6651
31/12/2008,579.7211
30/01/2009,530.866
27/02/2009,478.8856
31/03/2009,518.6548
30/04/2009,582.9949
29/05/2009,641.3331
30/06/2009,638.897
31/07/2009,695.4841
31/08/2009,721.9518
30/09/2009,756.4442
30/10/2009,743.0298
30/11/2009,772.2689
31/12/2009,790.821
29/01/2010,758.3563
26/02/2010,768.7589
31/03/2010,819.5836
30/04/2010,824.6364
31/05/2010,746.2166
30/06/2010,722.392
30/07/2010,780.7439
31/08/2010,752.9499
30/09/2010,826.9651
29/10/2010,857.2587
30/11/2010,840.8577
31/12/2010,904.2657
31/01/2011,917.0217
28/02/2011,943.985
31/03/2011,945.1289
29/04/2011,983.5084
31/05/2011,962.3339
30/06/2011,946.3641
29/07/2011,930.6877
31/08/2011,861.0504
30/09/2011,777.0511
31/10/2011,861.2072
30/11/2011,835.3666
30/12/2011,832.9205
31/01/2012,883.6307
29/02/2012,928.0723
30/03/2012,933.9963
30/04/2012,923.6913
31/05/2012,840.9198
29/06/2012,880.9285
31/07/2012,891.2796
31/08/2012,911.7755
28/09/2012,941.2341
31/10/2012,934.9426
30/11/2012,946.6469
31/12/2012,969.3766
31/01/2013,1015.096
28/02/2013,1016.069
29/03/2013,1036.301
30/04/2013,1063.811
31/05/2013,1062.434
28/06/2013,1031.407
31/07/2013,1082.168
30/08/2013,1059.642
30/09/2013,1116.762
31/10/2013,1160.317
29/11/2013,1176.828
31/12/2013,1197.681
31/01/2014,1153.066
28/02/2014,1209.282
31/03/2014,1213.571
30/04/2014,1221.117
30/05/2014,1245.74
30/06/2014,1272.269
31/07/2014,1252.725
29/08/2014,1281.747
30/09/2014,1236.286
31/10/2014,1246.031
28/11/2014,1264.483
31/12/2014,1243.629
30/01/2015,1224.333
27/02/2015,1292.797
31/03/2015,1275.718
30/04/2015,1310.749
29/05/2015,1311.619
30/06/2015,1282.56
31/07/2015,1290.009
31/08/2015,1203.494
30/09/2015,1159.522
30/10/2015,1247.265
30/11/2015,1239.548
31/12/2015,1216.435
29/01/2016,1140.21
29/02/2016,1134.261
31/03/2016,1220.061
29/04/2016,1239.341
31/05/2016,1241.866
30/06/2016,1232.954
29/07/2016,1287.864
31/08/2016,1292.182
30/09/2016,1301.613
31/10/2016,1276.416
30/11/2016,1290.308
30/12/2016,1318.11
31/01/2017,1353.806
28/02/2017,1391.12
31/03/2017,1407.597
28/04/2017,1430.213
31/05/2017,1458.757
30/06/2017,1467.368
31/07/2017,1507.615
31/08/2017,1512.947
29/09/2017,1545.377
31/10/2017,1576.629
30/11/2017,1607.579
29/12/2017,1633.794
31/01/2018,1721.894
28/02/2018,1650.008
30/03/2018,1619.174
30/04/2018,1634.295
31/05/2018,1640.738
29/06/2018,1630.89
31/07/2018,1676.072
31/08/2018,1691.471
28/09/2018,1694.15935
31/10/2018,1561.631
30/11/2018,1583.697
31/12/2018,1469.11518
31/01/2019,1588.663
28/02/2019,1632.865
29/03/2019,1649.719
30/04/2019,1704.279
31/05/2019,1602.23
28/06/2019,1705.269
31/07/2019,1710.415
30/08/2019,1667.283
30/09/2019,1702.252
31/10/2019,1749.119
29/11/2019,1792.688
31/12/2019,1856.269
31/01/2020,1831.707
28/02/2020,1681.8
31/03/2020,1439.762
30/04/2020,1598.331
29/05/2020,1671.828
30/06/2020,1725.28
31/07/2020,1814.917
31/08/2020,1924.78
30/09/2020,1865.124
30/10/2020,1824.74
30/11/2020,2055.759
31/12/2020,2157.944
29/01/2021,2154.134
26/02/2021,2211.435
