Date,Currency,Period Years,Period Days,RF,AAA,AA+,AA,AA-,A+,A,A-,BBB+,NR1,NR2,NR3
04/04/12,Nominal Shekel,1,365,2.627469,3.061469,3.495369,3.795969,3.810369,3.939069,5.189069,6.425669,9.077069,17.479069,35.445869,57.363569
04/04/12,Nominal Shekel,5,1825,3.748276,4.120576,4.492776,4.712876,4.927376,5.225476,6.529376,8.121676,10.047376,11.967076,15.150076,18.937276
04/04/12,Nominal Shekel,10,3650,4.787673,5.231673,5.675673,5.817373,6.126773,6.674473,7.786173,9.522173,10.780973,11.934973,13.387273,15.086973
04/04/12,Nominal Shekel,15,5475,5.26046,5.87596,6.49146,6.58596,6.90716,7.63916,8.52746,10.27946,11.11866,12.05326,13.01786,14.14606
05/04/12,Nominal Shekel,1,365,2.601515,3.014115,3.426715,3.631315,3.690715,3.857215,5.016315,6.342715,8.916915,17.328715,35.320615,57.275815
05/04/12,Nominal Shekel,5,1825,3.706285,4.068285,4.430385,4.616285,4.861685,5.162285,6.433785,8.153585,9.950685,11.874685,15.068685,18.871485
05/04/12,Nominal Shekel,10,3650,4.770405,5.204605,5.638805,5.772405,6.139405,6.623605,7.781505,9.935405,11.084405,12.210805,13.595205,15.202605
05/04/12,Nominal Shekel,15,5475,5.257909,5.857009,6.456109,6.545209,6.965609,7.579809,8.557509,10.994509,11.760509,12.637809,13.463009,14.405009
08/04/12,Nominal Shekel,1,365,2.578732,3.003832,3.428832,3.641832,3.713432,3.931232,5.232932,6.629032,9.344532,17.723632,35.631132,57.460432
08/04/12,Nominal Shekel,5,1825,3.650122,4.004322,4.358522,4.575122,4.819422,5.152822,6.227822,8.181122,10.038422,11.950922,15.116022,18.877822
08/04/12,Nominal Shekel,10,3650,4.732165,5.130165,5.528065,5.697565,6.090265,6.600365,7.322865,9.770465,10.937065,12.072965,13.480565,15.119365
08/04/12,Nominal Shekel,15,5475,5.238902,5.771302,6.303702,6.416702,6.895802,7.532002,8.013702,10.709002,11.486702,12.387202,13.268502,14.284402
09/04/12,Nominal Shekel,1,365,2.571777,3.001577,3.431377,3.575077,3.575077,3.741777,5.228877,6.428377,9.960577,18.294377,36.084477,57.739577
09/04/12,Nominal Shekel,5,1825,3.649387,4.029987,4.410587,4.633287,5.048587,5.160987,6.425287,8.034287,10.335887,12.224387,15.329087,19.005887
09/04/12,Nominal Shekel,10,3650,4.740662,5.131462,5.522162,5.699062,6.363262,6.608162,7.474362,9.606462,10.989762,12.121762,13.520062,15.146162
09/04/12,Nominal Shekel,15,5475,5.256596,5.764896,6.273096,6.430996,7.272396,7.556896,8.134396,10.599896,11.522096,12.420996,13.298496,14.309196
10/04/12,Nominal Shekel,1,365,2.574548,3.024048,3.473548,3.722948,3.722948,3.722948,5.313748,6.369348,10.121048,18.443348,36.203748,57.814548
10/04/12,Nominal Shekel,5,1825,3.633724,4.033924,4.434024,4.609724,5.089924,5.226324,6.325324,8.426524,10.146524,12.049024,15.188924,18.915324
10/04/12,Nominal Shekel,10,3650,4.715868,5.168368,5.620868,5.708668,6.379268,6.542668,7.347668,10.081168,10.943168,12.077168,13.480068,15.112368
10/04/12,Nominal Shekel,15,5475,5.240896,5.834796,6.428696,6.487296,7.290396,7.399296,7.980896,11.033996,11.608696,12.498296,13.353396,14.334496
11/04/12,Nominal Shekel,1,365,2.555373,3.059773,3.564173,3.876673,3.927673,4.089673,5.091473,6.842873,11.082873,19.333073,36.907573,58.243573
11/04/12,Nominal Shekel,5,1825,3.627958,3.998858,4.369858,4.591558,4.825058,5.066558,6.165858,8.275558,10.787758,12.637358,15.645058,19.186558
11/04/12,Nominal Shekel,10,3650,4.698068,5.149068,5.600068,5.738568,6.315868,6.537268,7.489068,9.824868,11.185268,12.296468,13.643568,15.200968
11/04/12,Nominal Shekel,15,5475,5.214165,5.831065,6.448065,6.540365,7.416065,7.563765,8.274765,10.770265,11.677265,12.558165,13.392165,14.345665
15/04/12,Nominal Shekel,1,365,2.541539,3.058139,3.574839,3.808939,3.909039,4.070739,5.170739,6.492239,8.982039,17.384739,35.353239,57.273439
15/04/12,Nominal Shekel,5,1825,3.610603,3.977203,4.343803,4.527103,4.833003,5.054703,6.201103,8.140203,9.751703,11.684003,14.898603,18.730803
15/04/12,Nominal Shekel,10,3650,4.701373,5.151073,5.600673,5.718773,6.382773,6.579173,7.468573,9.943073,11.004973,12.132273,13.518973,15.129273
15/04/12,Nominal Shekel,15,5475,5.218455,5.828155,6.437855,6.516655,7.492355,7.623255,8.216155,11.001255,11.709255,12.587555,13.415455,14.360855
16/04/12,Nominal Shekel,1,365,2.554151,2.995651,3.437251,3.666451,3.834251,4.032151,5.327351,6.635851,10.487451,18.781351,36.468551,57.971151
16/04/12,Nominal Shekel,5,1825,3.634246,3.986746,4.339246,4.527446,4.862646,5.079146,6.528746,7.954846,10.425946,12.305946,15.389146,19.035846
16/04/12,Nominal Shekel,10,3650,4.723189,5.152789,5.582389,5.713989,6.387989,6.572189,7.782389,9.429989,10.883789,12.023589,13.440589,15.092189
16/04/12,Nominal Shekel,15,5475,5.252137,5.840537,6.428937,6.516737,7.498137,7.620937,8.519937,10.332637,11.301837,12.219837,13.143937,14.217037
17/04/12,Nominal Shekel,1,365,2.57537,2.99377,3.41217,3.66917,3.66917,3.77017,5.36337,6.17407,9.48867,17.85707,35.73677,57.52487
17/04/12,Nominal Shekel,5,1825,3.662203,4.045903,4.429603,4.583803,4.988903,5.129603,6.486403,8.187403,10.033703,11.947703,15.116103,18.882703
17/04/12,Nominal Shekel,10,3650,4.752102,5.189802,5.627502,5.704602,6.342902,6.464302,8.133402,9.502702,10.632702,11.796302,13.272202,15.004202
17/04/12,Nominal Shekel,15,5475,5.287692,5.869892,6.452092,6.503492,7.301092,7.381992,9.298692,10.330792,11.084092,12.023892,13.001492,14.147492
18/04/12,Nominal Shekel,1,365,2.571883,3.019983,3.467983,3.768683,3.768683,3.806183,5.349383,6.378083,9.536183,17.900883,35.770983,57.544783
18/04/12,Nominal Shekel,5,1825,3.673929,4.079429,4.484929,4.662129,5.029729,5.200029,6.451029,8.033929,10.230429,12.129429,15.260529,18.974429
18/04/12,Nominal Shekel,10,3650,4.754843,5.193843,5.632743,5.721343,6.340843,6.510143,7.591343,9.404043,10.578643,11.746943,13.234643,14.983043
18/04/12,Nominal Shekel,15,5475,5.266182,5.850282,6.434382,6.493482,7.288382,7.401282,8.291182,10.291982,11.075082,12.013882,12.988782,14.131182
19/04/12,Nominal Shekel,1,365,2.583632,2.995032,3.406332,3.722332,3.722332,3.821532,5.371532,6.129732,9.263932,17.649232,35.572732,57.425932
19/04/12,Nominal Shekel,5,1825,3.667935,4.064235,4.460535,4.664635,5.046835,5.153335,6.494735,7.981035,9.435935,11.397435,14.686235,18.624335
19/04/12,Nominal Shekel,10,3650,4.763116,5.211116,5.659016,5.761116,6.355116,6.487016,7.501916,9.485916,10.439816,11.620316,13.138416,14.928916
19/04/12,Nominal Shekel,15,5475,5.277451,5.887751,6.498051,6.566051,7.306451,7.394451,8.156151,10.452951,11.088851,12.027351,13.001851,14.143451
22/04/12,Nominal Shekel,1,365,2.575069,2.952969,3.330869,3.640169,3.641669,3.669169,4.832269,6.246669,9.635169,17.992969,35.845069,57.592069
22/04/12,Nominal Shekel,5,1825,3.691924,4.069624,4.447424,4.600724,4.924624,5.047224,6.277224,7.943324,9.685724,11.629624,14.873624,18.747624
22/04/12,Nominal Shekel,10,3650,4.766354,5.217854,5.669254,5.745954,6.367754,6.495654,7.497954,9.336154,10.352754,11.540654,13.077254,14.893554
22/04/12,Nominal Shekel,15,5475,5.277619,5.887519,6.497419,6.548519,7.403019,7.488319,8.215019,10.187019,10.864719,11.821919,12.842819,14.048719
23/04/12,Nominal Shekel,1,365,2.59483,2.98413,3.37343,3.76383,3.76383,3.76383,4.87603,6.09903,9.22683,17.61563,35.54823,57.41493
23/04/12,Nominal Shekel,5,1825,3.693574,4.087374,4.481174,4.698474,5.119274,5.255174,6.428074,7.741874,9.836574,11.768674,14.982974,18.814574
23/04/12,Nominal Shekel,10,3650,4.783961,5.227961,5.671861,5.780561,6.390261,6.533461,7.427561,9.365061,10.580461,11.751061,13.244461,15.000561
23/04/12,Nominal Shekel,15,5475,5.303802,5.875802,6.447902,6.520302,7.251002,7.346402,7.995202,10.393402,11.203602,12.134702,13.090502,14.206802
24/04/12,Nominal Shekel,1,365,2.603653,3.037553,3.471453,3.830453,3.830853,4.021353,5.054353,6.230653,8.872953,17.288053,35.288653,57.256653
24/04/12,Nominal Shekel,5,1825,3.705816,4.046816,4.387816,4.585616,4.790316,5.019716,6.287116,7.973916,9.571716,11.525616,14.795016,18.705416
24/04/12,Nominal Shekel,10,3650,4.785484,5.234684,5.683784,5.783484,6.390284,6.574884,7.583884,9.805484,10.752884,11.909184,13.366884,15.073984
24/04/12,Nominal Shekel,15,5475,5.298616,5.923316,6.548016,6.614516,7.539816,7.662916,8.335616,10.889616,11.521316,12.424016,13.310816,14.333916
29/04/12,Nominal Shekel,1,365,2.611819,3.008819,3.405719,3.775419,3.775419,3.818119,5.055519,5.835319,9.482519,17.854019,35.741819,57.541719
29/04/12,Nominal Shekel,5,1825,3.71884,4.07264,4.42654,4.58184,4.92174,5.08504,6.38284,7.80614,9.89704,11.82634,15.03354,18.85524
29/04/12,Nominal Shekel,10,3650,4.780888,5.197388,5.613888,5.700688,6.393588,6.535988,7.458788,9.538188,10.714788,11.873888,13.338588,15.055388
29/04/12,Nominal Shekel,15,5475,5.291282,5.824182,6.357082,6.414882,7.386082,7.480982,8.096182,10.518382,11.302782,12.224182,13.156382,14.240482
30/04/12,Nominal Shekel,1,365,2.61947,3.05967,3.49987,3.89727,3.89727,3.89727,5.16937,5.75077,9.73027,18.08437,35.92687,57.65967
30/04/12,Nominal Shekel,5,1825,3.7037,4.1009,4.4981,4.6828,5.0729,5.2965,6.2447,7.8539,10.4193,12.3055,15.4042,19.0727
30/04/12,Nominal Shekel,10,3650,4.768577,5.190377,5.612177,5.726977,6.417077,6.606377,7.278877,9.444877,10.979377,12.114777,13.521177,15.158277
30/04/12,Nominal Shekel,15,5475,5.28705,5.79705,6.30705,6.41355,7.30675,7.43295,7.88135,10.37945,11.40245,12.31475,13.22475,14.27885
01/05/12,Nominal Shekel,1,365,2.603532,3.003432,3.403332,3.777432,3.777432,3.777432,4.888432,5.734232,8.919432,17.331132,35.323032,57.278032
01/05/12,Nominal Shekel,5,1825,3.697497,4.091697,4.485997,4.682497,5.037097,5.262897,6.391597,8.038297,9.682397,11.626997,14.872797,18.749397
01/05/12,Nominal Shekel,10,3650,4.748638,5.206138,5.663738,5.762038,6.365238,6.554638,7.363938,9.517538,10.531938,11.703638,13.199738,14.959638
01/05/12,Nominal Shekel,15,5475,5.260627,5.819627,6.378627,6.444127,7.225127,7.351427,7.890927,10.362927,11.039227,11.980527,12.961827,14.112927
02/05/12,Nominal Shekel,1,365,2.589141,3.010541,3.431841,3.897141,3.897141,3.958941,5.009641,5.983241,9.595241,17.956841,35.819141,57.581241
02/05/12,Nominal Shekel,5,1825,3.701028,4.084928,4.468828,4.623428,4.988828,5.183828,6.284528,7.907028,9.989528,11.910128,15.095228,18.885428
02/05/12,Nominal Shekel,10,3650,4.726669,5.188269,5.649969,5.727269,6.333269,6.489169,7.318069,9.022269,10.487369,11.660969,13.161669,14.928069
02/05/12,Nominal Shekel,15,5475,5.229586,5.817486,6.405486,6.456986,7.253486,7.357386,7.910086,9.586586,10.691286,11.658686,12.705086,13.946786
03/05/12,Nominal Shekel,1,365,2.58385,3.04725,3.51065,3.96785,3.98035,4.10155,5.28175,6.02845,10.40885,18.71075,36.41845,57.95135
03/05/12,Nominal Shekel,5,1825,3.672413,4.013913,4.355313,4.572113,4.820813,5.043013,6.187413,7.811913,10.440313,12.322113,15.410213,19.063813
03/05/12,Nominal Shekel,10,3650,4.722552,5.177752,5.632852,5.741252,6.320952,6.509752,7.352152,9.490452,10.989052,12.119552,13.514152,15.135152
03/05/12,Nominal Shekel,15,5475,5.233238,5.842538,6.451838,6.524138,7.366838,7.492738,8.054338,10.342538,11.341538,12.254438,13.165938,14.222138
06/05/12,Nominal Shekel,1,365,2.526036,3.008636,3.491336,3.866536,4.006136,4.104936,5.170436,5.901336,8.806336,17.220636,35.219236,57.184136
06/05/12,Nominal Shekel,5,1825,3.612496,3.984796,4.357196,4.545496,4.864396,5.025696,6.329696,7.745296,9.735296,11.668996,14.887296,18.724696
06/05/12,Nominal Shekel,10,3650,4.672668,5.152668,5.632568,5.726768,6.291468,6.444968,7.588468,9.459168,10.753168,11.899768,13.333768,15.008368
