Date,Price
30/06/2005,817.425
29/07/2005,875.343
31/08/2005,840.722
30/09/2005,843.998
31/10/2005,823.192
30/11/2005,857.689
30/12/2005,855.25
31/01/2006,920.175
28/02/2006,936.692
31/03/2006,981.915
28/04/2006,944.666
31/05/2006,916.431
30/06/2006,964.388
31/07/2006,998.216
31/08/2006,1035.222
29/09/2006,1054.047
31/10/2006,1119.275
30/11/2006,1171.233
29/12/2006,1147.553
31/01/2007,1246.853
28/02/2007,1215.284
30/03/2007,1184.191
30/04/2007,1183.028
31/05/2007,1180.412
29/06/2007,1067.739
31/07/2007,982.368
31/08/2007,1046.089
28/09/2007,1090.026
31/10/2007,1102.308
30/11/2007,996.978
31/12/2007,942.868
31/01/2008,938.363
29/02/2008,901.872
31/03/2008,959.625
30/04/2008,1016.632
30/05/2008,1016.775
30/06/2008,903.755
31/07/2008,931.316
29/08/2008,951.882
30/09/2008,949.057
31/10/2008,646.441
28/11/2008,490.396
31/12/2008,574.64
30/01/2009,472.059
27/02/2009,371.609
31/03/2009,384.181
30/04/2009,504.481
29/05/2009,515.226
30/06/2009,497.623
31/07/2009,550.169
31/08/2009,626.48
30/09/2009,667.387
30/10/2009,636.133
30/11/2009,678.713
31/12/2009,725.592
29/01/2010,686.426
26/02/2010,724.171
31/03/2010,796.303
30/04/2010,852.035
31/05/2010,805.357
30/06/2010,762.396
30/07/2010,835.955
31/08/2010,825.017
30/09/2010,860.439
29/10/2010,900.94
30/11/2010,881.869
31/12/2010,921.316
31/01/2011,951.384
28/02/2011,994.311
31/03/2011,978.622
29/04/2011,1033.933
31/05/2011,1046.874
30/06/2011,1011.089
29/07/2011,1026.536
31/08/2011,968.759
30/09/2011,861.737
31/10/2011,985.368
30/11/2011,947.54
30/12/2011,990.241
31/01/2012,1053.834
29/02/2012,1041.419
30/03/2012,1093.666
30/04/2012,1124.845
31/05/2012,1072.655
29/06/2012,1131.675
31/07/2012,1153.376
31/08/2012,1151.311
28/09/2012,1128.809
31/10/2012,1119.02
30/11/2012,1113.78
31/12/2012,1153.313
31/01/2013,1195.487
28/02/2013,1209.628
29/03/2013,1243.21
30/04/2013,1325.627
31/05/2013,1245.861
28/06/2013,1219.808
31/07/2013,1229.209
30/08/2013,1143.92
30/09/2013,1179.788
31/10/2013,1232.062
29/11/2013,1166.848
31/12/2013,1167.829
31/01/2014,1216.808
28/02/2014,1275.872
31/03/2014,1280.694
30/04/2014,1322.763
30/05/2014,1352.608
30/06/2014,1366.416
31/07/2014,1366.91
29/08/2014,1406.188
30/09/2014,1320.176
31/10/2014,1451.128
28/11/2014,1478.833
31/12/2014,1504.373
30/01/2015,1605.406
27/02/2015,1547.083
31/03/2015,1571.836
30/04/2015,1478.541
29/05/2015,1473.652
30/06/2015,1403.748
31/07/2015,1482.203
31/08/2015,1388.732
30/09/2015,1428.382
30/10/2015,1510.165
30/11/2015,1499.164
31/12/2015,1523.687
29/01/2016,1472.118
29/02/2016,1465.148
31/03/2016,1613.151
29/04/2016,1573.673
31/05/2016,1609.828
30/06/2016,1718.122
29/07/2016,1789.522
31/08/2016,1722.74
30/09/2016,1687.805
31/10/2016,1590.873
30/11/2016,1562.449
30/12/2016,1632.414
31/01/2017,1631.264
28/02/2017,1686.567
31/03/2017,1643.579
28/04/2017,1645.542
31/05/2017,1633.792
30/06/2017,1665.677
31/07/2017,1686.045
31/08/2017,1680.746
29/09/2017,1676.142
31/10/2017,1658.518
30/11/2017,1700.402
29/12/2017,1693.515
31/01/2018,1622.034
28/02/2018,1496.167
30/03/2018,1551.494
30/04/2018,1572.982
31/05/2018,1633.527
29/06/2018,1702.62
31/07/2018,1713.908
31/08/2018,1764.797
28/09/2018,1715.877
31/10/2018,1664.205
30/11/2018,1740.711
31/12/2018,1594.834
31/01/2019,1781.798
28/02/2019,1792.481
29/03/2019,1848.775
30/04/2019,1843.15
31/05/2019,1846.796
28/06/2019,1867.119
31/07/2019,1889.553
30/08/2019,1952.368
30/09/2019,2004.874
31/10/2019,2032.165
29/11/2019,1999.563
31/12/2019,1982.881
31/01/2020,2005.068
28/02/2020,1844.762
31/03/2020,1442.811
30/04/2020,1560.833
29/05/2020,1562.601
30/06/2020,1607.125
31/07/2020,1672.093
31/08/2020,1685.271
30/09/2020,1628.65
30/10/2020,1585.733
30/11/2020,1754.85
31/12/2020,1810.349
29/01/2021,1812.504
26/02/2021,1884.035
