Date,Price
31/01/08,210.75
03/02/08,211.9
04/02/08,212.44
05/02/08,211.2
06/02/08,211.47
07/02/08,210.93
10/02/08,211.2
11/02/08,211.34
12/02/08,211.7
13/02/08,211.86
14/02/08,212.21
17/02/08,212.45
18/02/08,212.62
19/02/08,212.74
20/02/08,212.42
21/02/08,212.65
24/02/08,212.94
25/02/08,213.08
26/02/08,214.71
27/02/08,215.34
28/02/08,215.4
02/03/08,215.3
03/03/08,215.61
04/03/08,215.61
05/03/08,215.81
06/03/08,215.96
09/03/08,216.01
10/03/08,216.04
11/03/08,216.11
12/03/08,216.26
13/03/08,216.03
16/03/08,215.25
17/03/08,211.3
18/03/08,210.47
19/03/08,211.38
20/03/08,211.33
23/03/08,211.7
24/03/08,211.86
25/03/08,212.83
26/03/08,212.95
27/03/08,212.8
30/03/08,212.41
31/03/08,211.57
01/04/08,212.21
02/04/08,212.66
03/04/08,212.76
06/04/08,213
07/04/08,213
08/04/08,213.32
09/04/08,213.41
10/04/08,213.83
13/04/08,214.07
14/04/08,214.3
15/04/08,214.47
16/04/08,215.19
17/04/08,216.13
21/04/08,217.56
22/04/08,218.26
23/04/08,218.84
24/04/08,219
27/04/08,218.18
28/04/08,217.17
29/04/08,216.93
30/04/08,216.92
01/05/08,217.58
04/05/08,218.03
05/05/08,218.78
06/05/08,219.42
11/05/08,219.7
12/05/08,220.02
13/05/08,219.5
14/05/08,219.36
15/05/08,219.5
18/05/08,220.08
19/05/08,220.28
20/05/08,220.71
21/05/08,221.19
22/05/08,221.19
25/05/08,220.83
26/05/08,220.15
27/05/08,220.05
28/05/08,219.88
29/05/08,220.23
01/06/08,220.51
02/06/08,220.8
03/06/08,220.7
04/06/08,220.66
05/06/08,220.67
10/06/08,220.44
11/06/08,220.63
12/06/08,220.73
15/06/08,221.34
16/06/08,221.56
17/06/08,222.39
18/06/08,222.61
22/06/08,222.86
23/06/08,223.38
24/06/08,223.33
25/06/08,222.78
26/06/08,222.54
29/06/08,222.57
30/06/08,223.04
02/07/08,224.22
03/07/08,223.84
06/07/08,222.52
07/07/08,220.7
08/07/08,219.08
09/07/08,220.29
10/07/08,219.52
13/07/08,217.27
14/07/08,217.55
15/07/08,215.81
16/07/08,215.49
17/07/08,217.35
20/07/08,218.65
21/07/08,219.21
22/07/08,218.88
23/07/08,219.26
24/07/08,219.61
27/07/08,219.45
28/07/08,218.86
29/07/08,218.17
30/07/08,218.31
31/07/08,218.5
03/08/08,218.55
04/08/08,218.63
05/08/08,218.54
06/08/08,217.75
07/08/08,217.02
11/08/08,216.71
