Date,Price
31/12/98,92.184
29/01/99,93.997
26/02/99,91.589
31/03/99,95.761
30/04/99,99.865
31/05/99,96.374
30/06/99,101.179
30/07/99,100.703
31/08/99,100.581
30/09/99,99.471
29/10/99,104.433
30/11/99,107.64
31/12/99,116.558
31/01/00,110.191
29/02/00,110.535
31/03/00,117.837
28/04/00,112.537
31/05/00,109.654
30/06/00,113.335
31/07/00,109.95
31/08/00,113.367
29/09/00,107.103
31/10/00,104.946
30/11/00,98.409
29/12/00,100
31/01/01,102.5144
28/02/01,93.8689
30/03/01,87.5162
30/04/01,93.8525
31/05/01,92.7504
29/06/01,89.8821
31/07/01,88.4466
31/08/01,84.3524
28/09/01,76.6253
31/10/01,78.2419
30/11/01,83.0309
31/12/01,83.791
31/01/02,81.4777
28/02/02,80.8553
29/03/02,84.4773
30/04/02,81.7697
31/05/02,81.8335
28/06/02,76.8091
31/07/02,70.3508
30/08/02,70.5072
30/09/02,62.7502
31/10/02,67.353
29/11/02,71.0129
31/12/02,67.6052
31/01/03,65.615
28/02/03,64.4383
31/03/03,64.1601
30/04/03,69.8466
30/05/03,73.8632
30/06/03,75.2455
31/07/03,76.892
29/08/03,78.6899
30/09/03,79.1678
31/10/03,83.9476
28/11/03,85.2053
31/12/03,90.5816
30/01/04,92.1121
27/02/04,93.7793
31/03/04,93.2434
30/04/04,91.0534
31/05/04,91.7604
30/06/04,93.5758
30/07/04,90.5811
31/08/04,91.1331
30/09/04,93.0252
29/10/04,95.299
30/11/04,100.4934
31/12/04,104.3808
31/01/05,102.1673
28/02/05,105.7073
31/03/05,103.3779
29/04/05,101.0973
31/05/05,102.9853
30/06/05,104.0258
29/07/05,107.8731
31/08/05,108.6922
30/09/05,111.9625
31/10/05,108.9467
30/11/05,112.9138
30/12/05,115.6908
31/01/06,121.3858
28/02/06,121.2075
31/03/06,123.7573
28/04/06,127.8764
31/05/06,122.8353
30/06/06,122.7823
31/07/06,123.6203
31/08/06,126.8246
29/09/06,128.3025
31/10/06,133.1152
30/11/06,136.8785
29/12/06,139.9328
31/01/07,141.325
28/02/07,140.5809
30/03/07,143.4004
30/04/07,149.7659
31/05/07,154.2187
29/06/07,153.7655
31/07/07,151.4173
31/08/07,150.9984
28/09/07,159.1041
31/10/07,165.3111
30/11/07,158.0021
31/12/07,156.253
31/01/08,143.455
29/02/08,143.8605
31/03/08,141.75
30/04/08,149.6576
30/05/08,151.9968
30/06/08,139.5162
31/07/08,135.8929
29/08/08,132.9636
30/09/08,116.3464
31/10/08,93.2919
28/11/08,87.1631
31/12/08,90.3221
30/01/09,82.6055
27/02/09,74.5167
31/03/09,80.6549
30/04/09,90.1755
29/05/09,99.1607
30/06/09,98.6054
31/07/09,107.2853
31/08/09,111.1221
30/09/09,116.2197
30/10/09,114.4242
30/11/09,119.1299
31/12/09,121.5966
29/01/10,116.3425
26/02/10,117.8241
31/03/10,125.4035
30/04/10,125.6153
31/05/10,113.7056
30/06/10,110.203
30/07/10,119.1696
31/08/10,115.0037
30/09/10,126.0058
29/10/10,130.5597
30/11/10,127.6549
31/12/10,137.0025
31/01/11,139.1525
28/02/11,143.2054
31/03/11,143.0617
29/04/11,148.9146
31/05/11,145.7144
30/06/11,143.4182
29/07/11,141.0834
31/08/11,130.7772
30/09/11,118.43
31/10/11,131.1195
30/11/11,127.1937
30/12/11,126.9371
31/01/12,134.3176
29/02/12,141.0757
30/03/12,142.0126
30/04/12,140.389
31/05/12,127.8017
29/06/12,134.114
