Date,1 yield shekel,5 yield shekel,10 yield shekel,15 yield shekel
30/04/05,4.177544,5.81281,6.983026,7.52203131
31/05/05,4.007145,5.411804,6.68218327,7.52658653
30/06/05,4.087635,5.682388,6.81987667,7.298386
31/07/05,4.270708,5.735265,6.642406,6.87492657
31/08/05,4.248233,5.553268,6.577216,7.104992
30/09/05,4.34762764,5.495527,6.563254,7.316801
31/10/05,4.694624,5.76406145,6.44252968,6.69999075
30/11/05,5.14306259,6.14030075,6.669691,6.786031
31/12/05,5.238393,5.822904,6.4408803,6.948079
31/01/06,5.28419352,5.867694,6.34795761,6.610374
28/02/06,5.608187,6.242909,6.499305,6.542352
31/03/06,5.678227,6.334061,6.57577229,6.666368
30/04/06,5.70101,6.380045,6.625179,6.71177673
31/05/06,5.789326,6.236132,6.57884264,6.786493
30/06/06,5.816011,6.324248,6.579381,6.632424
31/07/06,5.9043293,6.389721,6.627182,6.72926569
31/08/06,5.862807,6.36235476,6.535679,6.560765
30/09/06,5.80085325,6.208466,6.461338,6.52625656
31/10/06,5.240217,5.80298233,6.190765,6.33735275
30/11/06,5.08634,5.669955,5.8717494,5.93947029
31/12/06,4.819953,5.394434,5.716459,5.831005
31/01/07,4.638841,5.290861,5.64829731,5.7804637
28/02/07,4.545905,5.13317633,5.43443441,5.54257059
31/03/07,4.445497,5.126863,5.444339,5.577035
30/04/07,3.96333313,4.794267,5.152588,5.27626753
31/05/07,3.722229,4.595185,5.017253,5.168715
30/06/07,4.094216,5.24165535,5.689399,5.826214
31/07/07,4.312933,5.40503168,5.842904,6.0127306
31/08/07,4.878946,5.790789,6.24726629,6.446259
30/09/07,4.550278,5.40388966,5.94389534,6.221427
31/10/07,4.49021769,5.339139,5.849725,6.102147
30/11/07,4.58855,5.31013441,5.744453,5.95928764
31/12/07,4.931807,5.954984,6.31143665,6.442413
31/01/08,4.74267,5.583446,6.115629,6.38931561
29/02/08,4.358046,5.287421,5.91340065,6.17739
31/03/08,3.4127152,4.92224932,5.821203,6.199598
30/04/08,3.726349,5.157029,5.938553,6.281884
31/05/08,3.965835,5.465471,6.185789,6.48356
30/06/08,4.334582,5.550131,6.194332,6.441826
31/07/08,4.220246,5.364008,6.171848,6.498146
31/08/08,4.42239,5.330806,5.997053,6.29411
30/09/08,4.433919,5.430081,6.142758,6.495797
31/10/08,3.60576,5.150091,6.11038,6.529006
30/11/08,2.789481,5.065312,6.337715,6.831534
31/12/08,1.702657,3.922132,5.245725,5.733248
31/01/09,1.399917,3.709122,5.287665,5.912961
28/02/09,0.983933,3.524067,4.782532,5.259783
31/03/09,1.053977,3.621905,5.029054,5.55668
30/04/09,0.892442,3.68996,5.180125,5.733237
31/05/09,1.058213,4.445214,5.771589,6.234792
30/06/09,1.225438,4.524622,5.900149,6.389452
31/07/09,1.564003,4.333777,5.766141,6.380614
31/08/09,1.865814,4.367697,5.660468,6.235335
30/09/09,1.803879,3.989582,5.400403,6.137367
31/10/09,1.383278,3.804015,5.320074,6.093256
30/11/09,1.819768,3.75588,5.095526,5.836733
31/12/09,2.167414,4.396328,5.498154,5.974796
31/01/10,1.991237,4.051536,5.274283,5.872766
28/02/10,2.03448,3.960371,5.205791,5.857322
31/03/10,2.239814,4.048078,5.169877,5.737775
30/04/10,2.352585,4.096868,5.195297,5.757912
31/05/10,2.215007,3.870254,5.022686,5.66369
30/06/10,2.203618,3.768408,4.872993,5.494705
31/07/10,2.067175,3.651659,4.784309,5.428813
31/08/10,2.170851,3.499922,4.505288,5.106752
30/09/10,2.431483,3.808604,4.702632,5.171703
31/10/10,2.429815,3.657504,4.584201,5.039297
30/11/10,2.447524,3.787805,4.751637,5.244473
31/12/10,2.601541,4.029672,4.977604,5.459346
31/01/11,2.665455,4.148027,5.074199,5.501818
28/02/11,3.06372,4.512864,5.335252,5.724866
31/03/11,3.437263,4.680682,5.33934,5.646889
30/04/11,3.393185,4.757908,5.361398,5.597337
31/05/11,3.44521,4.587003,5.173176,5.484761
30/06/11,3.481984,4.585206,5.247059,5.553532
31/07/11,3.445665,4.427963,5.170765,5.551181
31/08/11,2.993671,3.796913,4.650621,5.072936
30/09/11,2.873089,3.782765,4.679657,5.121445
31/10/11,2.754379,3.726766,4.642542,5.066014
30/11/11,2.637436,3.689443,4.802363,5.305557
31/12/11,2.550303,3.529411,4.593398,5.145106
31/01/12,2.345541,3.47066,4.571442,5.12442
29/02/12,2.436835,3.68804,4.739034,5.232861
31/03/12,2.615823,3.726715,4.75299,5.225299
